Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Traitement du Signal,TRAIT SIGNAL,0765-0019,0.061,Not Available,Artificial Intelligence,2011
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,1079-8587,0.116,0.148,Artificial Intelligence,2011
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,0.127,Not Available,Artificial Intelligence,2011
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.129,0.253,Artificial Intelligence,2011
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0127-9084,0.167,Not Available,Artificial Intelligence,2011
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.168,0.193,Artificial Intelligence,2011
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,0.217,0.402,Artificial Intelligence,2011
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,0.239,0.278,Artificial Intelligence,2011
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.260,0.302,Artificial Intelligence,2011
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,1300-0632,0.283,Not Available,Artificial Intelligence,2011
MINDS AND MACHINES,MIND MACH,0924-6495,0.310,0.656,Artificial Intelligence,2011
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0883-9514,0.333,0.467,Artificial Intelligence,2011
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,0952-813X,0.333,0.588,Artificial Intelligence,2011
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,0.358,0.568,Artificial Intelligence,2011
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,0.405,0.844,Artificial Intelligence,2011
Natural Language Engineering,NAT LANG ENG,1351-3249,0.432,Not Available,Artificial Intelligence,2011
Intelligent Data Analysis,INTELL DATA ANAL,1088-467X,0.448,0.582,Artificial Intelligence,2011
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1641-876X,0.487,Not Available,Artificial Intelligence,2011
AI COMMUNICATIONS,AI COMMUN,0921-7126,0.500,0.583,Artificial Intelligence,2011
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,0.545,1.129,Artificial Intelligence,2011
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,0.555,Not Available,Artificial Intelligence,2011
