Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,1.921,Not Available,Artificial Intelligence,1997
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1.683,Not Available,Artificial Intelligence,1997
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1.668,Not Available,Artificial Intelligence,1997
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1.646,Not Available,Artificial Intelligence,1997
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1.597,Not Available,Artificial Intelligence,1997
COGNITIVE BRAIN RESEARCH,COGNITIVE BRAIN RES,0926-6410,1.576,Not Available,Artificial Intelligence,1997
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,1.426,Not Available,Artificial Intelligence,1997
IEEE TRANSACTIONS ON NEURAL NETWORKS,IEEE T NEURAL NETWOR,1045-9227,1.395,Not Available,Artificial Intelligence,1997
CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,CHEMOMETR INTELL LAB,0169-7439,1.348,Not Available,Artificial Intelligence,1997
MACHINE LEARNING,MACH LEARN,0885-6125,1.210,Not Available,Artificial Intelligence,1997
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0954-898X,1.187,Not Available,Artificial Intelligence,1997
AI MAGAZINE,AI MAG,0738-4602,1.044,Not Available,Artificial Intelligence,1997
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1.019,Not Available,Artificial Intelligence,1997
PATTERN RECOGNITION,PATTERN RECOGN,0031-3203,0.781,Not Available,Artificial Intelligence,1997
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL,0824-7935,0.643,Not Available,Artificial Intelligence,1997
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.616,Not Available,Artificial Intelligence,1997
INTERNATIONAL JOURNAL OF APPROXIMATE REASONING,INT J APPROX REASON,0888-613X,0.542,Not Available,Artificial Intelligence,1997
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,IEEE T SYST MAN CY B,1083-4419,0.506,Not Available,Artificial Intelligence,1997
AI APPLICATIONS,AI APPLICATIONS,1051-8266,0.500,Not Available,Artificial Intelligence,1997
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,0.465,Not Available,Artificial Intelligence,1997
NEUROCOMPUTING,NEUROCOMPUTING,0925-2312,0.422,Not Available,Artificial Intelligence,1997
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,0.404,Not Available,Artificial Intelligence,1997
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,0.379,Not Available,Artificial Intelligence,1997
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,0.348,Not Available,Artificial Intelligence,1997
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,0.341,Not Available,Artificial Intelligence,1997
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,0.340,Not Available,Artificial Intelligence,1997
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0883-9514,0.321,Not Available,Artificial Intelligence,1997
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,0.314,Not Available,Artificial Intelligence,1997
