Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Traitement du Signal,TRAIT SIGNAL,0765-0019,0.023,0.079,Artificial Intelligence,2013
INTELLIGENT AUTOMATION AND SOFT COMPUTING,INTELL AUTOM SOFT CO,1079-8587,0.189,0.224,Artificial Intelligence,2013
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.264,0.287,Artificial Intelligence,2013
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.265,0.235,Artificial Intelligence,2013
COMPUTING AND INFORMATICS,COMPUT INFORM,1335-9150,0.319,0.331,Artificial Intelligence,2013
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,0.321,0.478,Artificial Intelligence,2013
International Arab Journal of Information Technology,INT ARAB J INF TECHN,1683-3198,0.366,0.467,Artificial Intelligence,2013
International Journal on Semantic Web and Information Systems,INT J SEMANT WEB INF,1552-6283,0.393,2.029,Artificial Intelligence,2013
Journal of Applied Logic,J APPL LOGIC,1570-8683,0.395,Not Available,Artificial Intelligence,2013
APPLIED ARTIFICIAL INTELLIGENCE,APPL ARTIF INTELL,0883-9514,0.402,0.563,Artificial Intelligence,2013
Neural Network World,NEURAL NETW WORLD,1210-0552,0.412,0.465,Artificial Intelligence,2013
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,1875-6891,0.451,0.749,Artificial Intelligence,2013
Journal on Multimodal User Interfaces,J MULTIMODAL USER IN,1783-7677,0.462,0.644,Artificial Intelligence,2013
Natural Language Engineering,NAT LANG ENG,1351-3249,0.463,Not Available,Artificial Intelligence,2013
AI COMMUNICATIONS,AI COMMUN,0921-7126,0.466,0.582,Artificial Intelligence,2013
JOURNAL OF AUTOMATED REASONING,J AUTOM REASONING,0168-7433,0.468,0.762,Artificial Intelligence,2013
ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,ANN MATH ARTIF INTEL,1012-2443,0.488,0.505,Artificial Intelligence,2013
AI MAGAZINE,AI MAG,0738-4602,0.500,0.829,Artificial Intelligence,2013
Intelligent Data Analysis,INTELL DATA ANAL,1088-467X,0.500,0.548,Artificial Intelligence,2013
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0127-9084,0.500,0.574,Artificial Intelligence,2013
NETWORK-COMPUTATION IN NEURAL SYSTEMS,NETWORK-COMP NEURAL,0954-898X,0.500,0.789,Artificial Intelligence,2013
JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE,J EXP THEOR ARTIF IN,0952-813X,0.527,0.535,Artificial Intelligence,2013
Natural Computing,NAT COMPUT,1567-7818,0.539,Not Available,Artificial Intelligence,2013
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,0.553,1.181,Artificial Intelligence,2013
INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE,INT J PATTERN RECOGN,0218-0014,0.558,0.856,Artificial Intelligence,2013
MINDS AND MACHINES,MIND MACH,0924-6495,0.574,0.656,Artificial Intelligence,2013
INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS,INT J UNCERTAIN FUZZ,0218-4885,0.619,1.232,Artificial Intelligence,2013
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,J INTELL INF SYST,0925-9902,0.632,0.782,Artificial Intelligence,2013
Advances in Electrical and Computer Engineering,ADV ELECTR COMPUT EN,1582-7445,0.642,0.580,Artificial Intelligence,2013
Turkish Journal of Electrical Engineering and Computer Sciences,TURK J ELECTR ENG CO,1300-0632,0.644,0.680,Artificial Intelligence,2013
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.667,0.684,Artificial Intelligence,2013
PATTERN ANALYSIS AND APPLICATIONS,PATTERN ANAL APPL,1433-7541,0.742,1.079,Artificial Intelligence,2013
EXPERT SYSTEMS,EXPERT SYST,0266-4720,0.750,0.832,Artificial Intelligence,2013
Cognitive Systems Research,COGN SYST RES,1389-0417,0.754,1.193,Artificial Intelligence,2013
IET Computer Vision,IET COMPUT VIS,1751-9632,0.758,0.853,Artificial Intelligence,2013
CONNECTION SCIENCE,CONNECT SCI,0954-0091,0.769,0.885,Artificial Intelligence,2013
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,0.785,1.286,Artificial Intelligence,2013
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,J INTELL ROBOT SYST,0921-0296,0.810,0.953,Artificial Intelligence,2013
Information Technology and Control,INF TECHNOL CONTROL,1392-124X,0.813,0.622,Artificial Intelligence,2013
Applied Ontology,APPL ONTOL,1570-5838,0.844,Not Available,Artificial Intelligence,2013
International Journal on Document Analysis and Recognition,INT J DOC ANAL RECOG,1433-2833,0.857,1.068,Artificial Intelligence,2013
COMPUTATIONAL INTELLIGENCE,COMPUT INTELL-US,0824-7935,0.870,0.960,Artificial Intelligence,2013
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,0.895,1.861,Artificial Intelligence,2013
JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,J ARTIF INTELL RES,1076-9757,0.904,1.685,Artificial Intelligence,2013
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,J INTELL FUZZY SYST,1064-1246,0.936,0.748,Artificial Intelligence,2013
KNOWLEDGE ENGINEERING REVIEW,KNOWL ENG REV,0269-8889,0.957,1.052,Artificial Intelligence,2013
Fuzzy Optimization and Decision Making,FUZZY OPTIM DECIS MA,1568-4539,1.000,2.055,Artificial Intelligence,2013
International Journal of Fuzzy Systems,INT J FUZZY SYST,1562-2479,1.031,1.113,Artificial Intelligence,2013
PATTERN RECOGNITION LETTERS,PATTERN RECOGN LETT,0167-8655,1.062,1.466,Artificial Intelligence,2013
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1389-2576,1.065,1.400,Artificial Intelligence,2013
Journal of Ambient Intelligence and Smart Environments,J AMB INTEL SMART EN,1876-1364,1.082,1.252,Artificial Intelligence,2013
Cognitive Computation,COGN COMPUT,1866-9956,1.100,1.359,Artificial Intelligence,2013
ROBOTICS AND AUTONOMOUS SYSTEMS,ROBOT AUTON SYST,0921-8890,1.105,1.462,Artificial Intelligence,2013
AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS,AUTON AGENT MULTI-AG,1387-2532,1.108,1.588,Artificial Intelligence,2013
Journal of Real-Time Image Processing,J REAL-TIME IMAGE PR,1861-8200,1.111,1.092,Artificial Intelligence,2013
JOURNAL OF INTELLIGENT MANUFACTURING,J INTELL MANUF,0956-5515,1.142,1.658,Artificial Intelligence,2013
ADAPTIVE BEHAVIOR,ADAPT BEHAV,1059-7123,1.151,1.325,Artificial Intelligence,2013
CONSTRAINTS,CONSTRAINTS,1383-7133,1.152,1.151,Artificial Intelligence,2013
IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,1943-068X,1.167,1.274,Artificial Intelligence,2013
NEURAL PROCESSING LETTERS,NEURAL PROCESS LETT,1370-4621,1.237,1.328,Artificial Intelligence,2013
SOFT COMPUTING,SOFT COMPUT,1432-7643,1.304,1.492,Artificial Intelligence,2013
IEEE Transactions on Autonomous Mental Development,IEEE T AUTON MENT DE,1943-0604,1.348,1.875,Artificial Intelligence,2013
ARTIFICIAL INTELLIGENCE IN MEDICINE,ARTIF INTELL MED,0933-3657,1.356,1.632,Artificial Intelligence,2013
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,1.358,2.293,Artificial Intelligence,2013
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1.358,1.358,Artificial Intelligence,2013
JOURNAL OF HEURISTICS,J HEURISTICS,1381-1231,1.359,1.879,Artificial Intelligence,2013
Journal of Web Semantics,J WEB SEMANT,1570-8268,1.377,2.050,Artificial Intelligence,2013
International Journal of Applied Mathematics and Computer Science,INT J AP MAT COM-POL,1641-876X,1.390,1.317,Artificial Intelligence,2013
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,INT J INTELL SYST,0884-8173,1.411,1.818,Artificial Intelligence,2013
MACHINE VISION AND APPLICATIONS,MACH VISION APPL,0932-8092,1.444,1.439,Artificial Intelligence,2013
COMPUTATIONAL LINGUISTICS,COMPUT LINGUIST,0891-2017,1.468,1.850,Artificial Intelligence,2013
DATA & KNOWLEDGE ENGINEERING,DATA KNOWL ENG,0169-023X,1.489,1.609,Artificial Intelligence,2013
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,IEEE T SYST MAN CY C,1094-6977,1.526,2.428,Artificial Intelligence,2013
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1.581,2.095,Artificial Intelligence,2013
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,1758-0366,1.681,1.302,Artificial Intelligence,2013
MACHINE LEARNING,MACH LEARN,0885-6125,1.689,2.289,Artificial Intelligence,2013
NEURAL COMPUTATION,NEURAL COMPUT,0899-7667,1.694,2.121,Artificial Intelligence,2013
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1.743,2.164,Artificial Intelligence,2013
AUTONOMOUS ROBOTS,AUTON ROBOT,0929-5593,1.750,1.854,Artificial Intelligence,2013
NEURAL COMPUTING & APPLICATIONS,NEURAL COMPUT APPL,0941-0643,1.763,1.502,Artificial Intelligence,2013
JOURNAL OF CHEMOMETRICS,J CHEMOMETR,0886-9383,1.803,2.064,Artificial Intelligence,2013
