Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
IEEE NETWORK,IEEE NETWORK,0890-8044,3.400,Not Available,Information Systems,2002
IEEE PERSONAL COMMUNICATIONS,IEEE PERS COMMUN,1070-9916,3.048,Not Available,Information Systems,2002
JOURNAL OF CHEMICAL INFORMATION AND COMPUTER SCIENCES,J CHEM INF COMP SCI,0095-2338,2.902,Not Available,Information Systems,2002
MIS QUARTERLY,MIS QUART,0276-7783,2.872,Not Available,Information Systems,2002
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,1063-6692,2.408,Not Available,Information Systems,2002
IEEE TRANSACTIONS ON INFORMATION THEORY,IEEE T INFORM THEORY,0018-9448,2.045,Not Available,Information Systems,2002
INFORMATION SYSTEMS,INFORM SYST,0306-4379,2.000,Not Available,Information Systems,2002
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,ANNU REV INFORM SCI,0066-4200,1.778,Not Available,Information Systems,2002
JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY,J AM SOC INF SCI TEC,1532-2882,1.773,Not Available,Information Systems,2002
JOURNAL OF THE ACM,J ACM,0004-5411,1.708,Not Available,Information Systems,2002
INFORMATION PROCESSING & MANAGEMENT,INFORM PROCESS MANAG,0306-4573,1.506,Not Available,Information Systems,2002
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,1046-8188,1.385,Not Available,Information Systems,2002
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,0963-8687,1.346,Not Available,Information Systems,2002
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,0378-7206,1.299,Not Available,Information Systems,2002
JOURNAL OF INFORMATION TECHNOLOGY,J INFORM TECHNOL,0268-3962,1.268,Not Available,Information Systems,2002
DATA MINING AND KNOWLEDGE DISCOVERY,DATA MIN KNOWL DISC,1384-5810,1.192,Not Available,Information Systems,2002
