Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,0.321,0.478,Interdisciplinary Applications,2013
Journal of Simulation,J SIMUL,1747-7778,0.383,Not Available,Interdisciplinary Applications,2013
COMPUTER MUSIC JOURNAL,COMPUT MUSIC J,0148-9267,0.410,0.495,Interdisciplinary Applications,2013
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,0332-1649,0.440,0.364,Interdisciplinary Applications,2013
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.449,0.725,Interdisciplinary Applications,2013
International Journal of Computational Intelligence Systems,INT J COMPUT INT SYS,1875-6891,0.451,0.749,Interdisciplinary Applications,2013
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,0.471,0.563,Interdisciplinary Applications,2013
Language Resources and Evaluation,LANG RESOUR EVAL,1574-020X,0.518,0.922,Interdisciplinary Applications,2013
JOURNAL OF NEW MUSIC RESEARCH,J NEW MUSIC RES,0929-8215,0.519,0.656,Interdisciplinary Applications,2013
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1063-293X,0.531,0.672,Interdisciplinary Applications,2013
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,J COMPUT INF SCI ENG,1530-9827,0.537,0.728,Interdisciplinary Applications,2013
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,0.553,1.181,Interdisciplinary Applications,2013
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.561,0.642,Interdisciplinary Applications,2013
JOURNAL OF VISUALIZATION,J VISUAL-JAPAN,1343-8875,0.588,0.568,Interdisciplinary Applications,2013
QUEUEING SYSTEMS,QUEUEING SYST,0257-0130,0.602,0.911,Interdisciplinary Applications,2013
Computers and Concrete,COMPUT CONCRETE,1598-8198,0.637,0.846,Interdisciplinary Applications,2013
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0037-5497,0.656,0.737,Interdisciplinary Applications,2013
Earth Science Informatics,EARTH SCI INFORM,1865-0473,0.694,0.515,Interdisciplinary Applications,2013
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,J STAT COMPUT SIM,0094-9655,0.713,0.778,Interdisciplinary Applications,2013
VIRTUAL REALITY,VIRTUAL REAL-LONDON,1359-4338,0.729,Not Available,Interdisciplinary Applications,2013
CIN-COMPUTERS INFORMATICS NURSING,CIN-COMPUT INFORM NU,1538-2931,0.812,1.022,Interdisciplinary Applications,2013
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,1049-3301,0.829,1.010,Interdisciplinary Applications,2013
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,INT J RF MICROW C E,1096-4290,0.845,0.667,Interdisciplinary Applications,2013
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,0378-4754,0.856,1.109,Interdisciplinary Applications,2013
R Journal,R J,2073-4859,0.895,1.273,Interdisciplinary Applications,2013
Computational and Mathematical Organization Theory,COMPUT MATH ORGAN TH,1381-298X,0.923,1.065,Interdisciplinary Applications,2013
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,MATH COMP MODEL DYN,1387-3954,0.984,0.811,Interdisciplinary Applications,2013
