Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
INTEGRATED COMPUTER-AIDED ENGINEERING,INTEGR COMPUT-AID E,1069-2509,0.113,0.301,Interdisciplinary Applications,2007
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE,J ORG COMP ELECT COM,1091-9392,0.129,0.541,Interdisciplinary Applications,2007
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,0.130,0.262,Interdisciplinary Applications,2007
COMPEL-THE INTERNATIONAL JOURNAL FOR COMPUTATION AND MATHEMATICS IN ELECTRICAL AND ELECTRONIC ENGINEERING,COMPEL,0332-1649,0.226,0.249,Interdisciplinary Applications,2007
Digital Investigation,DIGIT INVEST,1742-2876,0.236,Not Available,Interdisciplinary Applications,2007
AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING,AI EDAM,0890-0604,0.279,0.755,Interdisciplinary Applications,2007
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,INT J RF MICROW C E,1096-4290,0.291,0.392,Interdisciplinary Applications,2007
Language Resources and Evaluation,LANG RESOUR EVAL,1574-020X,0.293,0.293,Interdisciplinary Applications,2007
INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,INT J COMPUT INTEG M,0951-192X,0.297,0.495,Interdisciplinary Applications,2007
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.310,0.366,Interdisciplinary Applications,2007
ENGINEERING WITH COMPUTERS,ENG COMPUT-GERMANY,0177-0667,0.316,0.584,Interdisciplinary Applications,2007
JOURNAL OF NEW MUSIC RESEARCH,J NEW MUSIC RES,0929-8215,0.327,0.521,Interdisciplinary Applications,2007
ENGINEERING COMPUTATIONS,ENG COMPUTATION,0264-4401,0.337,0.648,Interdisciplinary Applications,2007
Computers and Concrete,COMPUT CONCRETE,1598-8198,0.351,Not Available,Interdisciplinary Applications,2007
MATHEMATICAL AND COMPUTER MODELLING OF DYNAMICAL SYSTEMS,MATH COMP MODEL DYN,1387-3954,0.359,0.346,Interdisciplinary Applications,2007
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,0.375,0.467,Interdisciplinary Applications,2007
International Journal on Artificial Intelligence Tools,INT J ARTIF INTELL T,0218-2130,0.376,Not Available,Interdisciplinary Applications,2007
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,J STAT COMPUT SIM,0094-9655,0.387,0.471,Interdisciplinary Applications,2007
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0037-5497,0.404,0.500,Interdisciplinary Applications,2007
SOCIAL SCIENCE COMPUTER REVIEW,SOC SCI COMPUT REV,0894-4393,0.405,0.873,Interdisciplinary Applications,2007
JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,J COMPUT INF SCI ENG,1530-9827,0.446,Not Available,Interdisciplinary Applications,2007
JOURNAL OF HYDROINFORMATICS,J HYDROINFORM,1464-7141,0.457,Not Available,Interdisciplinary Applications,2007
CONCURRENT ENGINEERING-RESEARCH AND APPLICATIONS,CONCURRENT ENG-RES A,1063-293X,0.482,0.941,Interdisciplinary Applications,2007
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,0.527,0.638,Interdisciplinary Applications,2007
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.528,0.535,Interdisciplinary Applications,2007
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,0.529,0.600,Interdisciplinary Applications,2007
COMPUTERS & INDUSTRIAL ENGINEERING,COMPUT IND ENG,0360-8352,0.554,1.058,Interdisciplinary Applications,2007
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,0266-352X,0.570,0.717,Interdisciplinary Applications,2007
JOURNAL OF COMBINATORIAL OPTIMIZATION,J COMB OPTIM,1382-6905,0.571,0.804,Interdisciplinary Applications,2007
STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,STRUCT MULTIDISCIP O,1615-147X,0.590,0.861,Interdisciplinary Applications,2007
Electronic Commerce Research and Applications,ELECTRON COMMER R A,1567-4223,0.600,Not Available,Interdisciplinary Applications,2007
SOFT COMPUTING,SOFT COMPUT,1432-7643,0.607,0.564,Interdisciplinary Applications,2007
SPEECH COMMUNICATION,SPEECH COMMUN,0167-6393,0.690,1.090,Interdisciplinary Applications,2007
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,J COMPUT CIVIL ENG,0887-3801,0.707,0.989,Interdisciplinary Applications,2007
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,INT J NUMER METH FL,0271-2091,0.712,1.017,Interdisciplinary Applications,2007
COMPUTING IN SCIENCE & ENGINEERING,COMPUT SCI ENG,1521-9615,0.714,0.809,Interdisciplinary Applications,2007
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,INT J INF TECH DECIS,0219-6220,0.718,Not Available,Interdisciplinary Applications,2007
