Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
CRYPTOLOGIA,CRYPTOLOGIA,0161-1194,0.074,0.114,Theory & Methods,2008
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.082,0.093,Theory & Methods,2008
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0288-3635,0.200,0.464,Theory & Methods,2008
IET Information Security,IET INFORM SECUR,1751-8709,0.273,0.273,Theory & Methods,2008
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,0.277,0.324,Theory & Methods,2008
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.308,Not Available,Theory & Methods,2008
IET Computers and Digital Techniques,IET COMPUT DIGIT TEC,1751-8601,0.316,0.316,Theory & Methods,2008
IEEE ANNALS OF THE HISTORY OF COMPUTING,IEEE ANN HIST COMPUT,1058-6180,0.340,0.330,Theory & Methods,2008
Journal of Web Engineering,J WEB ENG,1540-9589,0.412,Not Available,Theory & Methods,2008
INTERNATIONAL JOURNAL OF COMPUTATIONAL GEOMETRY & APPLICATIONS,INT J COMPUT GEOM AP,0218-1959,0.436,0.628,Theory & Methods,2008
Journal of Cellular Automata,J CELL AUTOM,1557-5969,0.439,Not Available,Theory & Methods,2008
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.462,0.704,Theory & Methods,2008
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,MULTIDIM SYST SIGN P,0923-6082,0.486,0.713,Theory & Methods,2008
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0948-695X,0.488,0.484,Theory & Methods,2008
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.500,0.600,Theory & Methods,2008
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,0955-792X,0.536,1.049,Theory & Methods,2008
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,INT J FOUND COMPUT S,0129-0541,0.554,Not Available,Theory & Methods,2008
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,1386-7857,0.591,Not Available,Theory & Methods,2008
JOURNAL OF COMPUTATIONAL ANALYSIS AND APPLICATIONS,J COMPUT ANAL APPL,1521-1398,0.614,0.481,Theory & Methods,2008
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,0920-8542,0.615,0.604,Theory & Methods,2008
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,0020-7721,0.634,0.786,Theory & Methods,2008
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0141-9331,0.652,0.613,Theory & Methods,2008
MULTIMEDIA SYSTEMS,MULTIMEDIA SYST,0942-4962,0.679,1.216,Theory & Methods,2008
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,1387-3326,0.706,0.781,Theory & Methods,2008
EXPERT SYSTEMS,EXPERT SYST,0266-4720,0.717,1.079,Theory & Methods,2008
DESIGNS CODES AND CRYPTOGRAPHY,DESIGN CODE CRYPTOGR,0925-1022,0.745,0.772,Theory & Methods,2008
JOURNAL OF SYMBOLIC COMPUTATION,J SYMB COMPUT,0747-7171,0.745,0.775,Theory & Methods,2008
DISCRETE & COMPUTATIONAL GEOMETRY,DISCRETE COMPUT GEOM,0179-5376,0.754,1.056,Theory & Methods,2008
THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,1432-4350,0.766,0.899,Theory & Methods,2008
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,0219-7499,0.774,Not Available,Theory & Methods,2008
COMPUTING,COMPUTING,0010-485X,0.783,1.178,Theory & Methods,2008
COMBINATORICS PROBABILITY & COMPUTING,COMB PROBAB COMPUT,0963-5483,0.784,0.872,Theory & Methods,2008
FORMAL METHODS IN SYSTEM DESIGN,FORM METHOD SYST DES,0925-9856,0.800,0.991,Theory & Methods,2008
THEORETICAL COMPUTER SCIENCE,THEOR COMPUT SCI,0304-3975,0.806,0.995,Theory & Methods,2008
JOURNAL OF COMPLEXITY,J COMPLEXITY,0885-064X,0.825,1.220,Theory & Methods,2008
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,0308-1079,0.826,0.933,Theory & Methods,2008
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,0.875,2.461,Theory & Methods,2008
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,INT J PARALLEL PROG,0885-7458,0.875,0.811,Theory & Methods,2008
CONSTRAINTS,CONSTRAINTS,1383-7133,0.879,1.038,Theory & Methods,2008
CONNECTION SCIENCE,CONNECT SCI,0954-0091,0.884,1.468,Theory & Methods,2008
JOURNAL OF ALGORITHMS,J ALGORITHM,0196-6774,0.943,1.355,Theory & Methods,2008
Advances in Mathematics of Communications,ADV MATH COMMUN,1930-5346,0.970,0.970,Theory & Methods,2008
JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,J LOGIC ALGEBR PROGR,1567-8326,1.018,0.958,Theory & Methods,2008
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,1.049,1.213,Theory & Methods,2008
JOURNAL OF HEURISTICS,J HEURISTICS,1381-1231,1.064,1.538,Theory & Methods,2008
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,MATH STRUCT COMP SCI,0960-1295,1.073,Not Available,Theory & Methods,2008
REAL-TIME SYSTEMS,REAL-TIME SYST,0922-6443,1.145,1.492,Theory & Methods,2008
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,1.164,1.900,Theory & Methods,2008
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,J PARALLEL DISTR COM,0743-7315,1.168,1.263,Theory & Methods,2008
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,0169-2607,1.220,1.284,Theory & Methods,2008
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,1.241,1.312,Theory & Methods,2008
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,0022-0000,1.244,1.779,Theory & Methods,2008
DISTRIBUTED COMPUTING,DISTRIB COMPUT,0178-2770,1.246,1.536,Theory & Methods,2008
PARALLEL COMPUTING,PARALLEL COMPUT,0167-8191,1.309,1.471,Theory & Methods,2008
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,IEEE T SYST MAN CY A,1083-4427,1.350,2.095,Theory & Methods,2008
STATISTICS AND COMPUTING,STAT COMPUT,0960-3174,1.371,1.819,Theory & Methods,2008
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,0097-5397,1.459,1.883,Theory & Methods,2008
