Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
CRYPTOLOGIA,CRYPTOLOGIA,0161-1194,0.213,0.324,Theory & Methods,2015
Romanian Journal of Information Science and Technology,ROM J INF SCI TECH,1453-8245,0.269,0.343,Theory & Methods,2015
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,0.291,0.306,Theory & Methods,2015
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,J MULT-VALUED LOG S,1542-3980,0.325,0.725,Theory & Methods,2015
COMPUTATIONAL COMPLEXITY,COMPUT COMPLEX,1016-3328,0.342,0.677,Theory & Methods,2015
APPLICABLE ALGEBRA IN ENGINEERING COMMUNICATION AND COMPUTING,APPL ALGEBR ENG COMM,0938-1279,0.370,0.722,Theory & Methods,2015
Journal of Cellular Automata,J CELL AUTOM,1557-5969,0.418,0.343,Theory & Methods,2015
INTERNATIONAL JOURNAL OF FOUNDATIONS OF COMPUTER SCIENCE,INT J FOUND COMPUT S,0129-0541,0.467,0.504,Theory & Methods,2015
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0141-9331,0.471,0.571,Theory & Methods,2015
Malaysian Journal of Computer Science,MALAYS J COMPUT SCI,0127-9084,0.476,0.420,Theory & Methods,2015
JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL,J COMPUT SYS SC INT+,1064-2307,0.503,0.433,Theory & Methods,2015
IET Computers and Digital Techniques,IET COMPUT DIGIT TEC,1751-8601,0.517,0.387,Theory & Methods,2015
Journal of Applied Logic,J APPL LOGIC,1570-8683,0.524,0.617,Theory & Methods,2015
Applied Ontology,APPL ONTOL,1570-5838,0.526,1.083,Theory & Methods,2015
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0288-3635,0.533,0.867,Theory & Methods,2015
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0948-695X,0.546,0.684,Theory & Methods,2015
Logical Methods in Computer Science,LOG METH COMPUT SCI,1860-5974,0.569,0.710,Theory & Methods,2015
JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,J LOGIC ALGEBR PROGR,1567-8326,0.579,1.073,Theory & Methods,2015
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,0.585,0.649,Theory & Methods,2015
JOURNAL OF LOGIC AND COMPUTATION,J LOGIC COMPUT,0955-792X,0.585,0.723,Theory & Methods,2015
CONSTRAINTS,CONSTRAINTS,1383-7133,0.622,0.978,Theory & Methods,2015
Journal of Web Engineering,J WEB ENG,1540-9589,0.622,0.500,Theory & Methods,2015
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0018-8646,0.626,0.878,Theory & Methods,2015
COMBINATORICS PROBABILITY & COMPUTING,COMB PROBAB COMPUT,0963-5483,0.627,0.847,Theory & Methods,2015
Advances in Mathematics of Communications,ADV MATH COMMUN,1930-5346,0.631,0.632,Theory & Methods,2015
Problems of Information Transmission,PROBL INFORM TRANSM+,0032-9460,0.632,0.397,Theory & Methods,2015
IEEE ANNALS OF THE HISTORY OF COMPUTING,IEEE ANN HIST COMPUT,1058-6180,0.636,0.579,Theory & Methods,2015
Journal of Logical and Algebraic Methods in Programming,J LOG ALGEBR METHODS,2352-2208,0.636,0.636,Theory & Methods,2015
THEORETICAL COMPUTER SCIENCE,THEOR COMPUT SCI,0304-3975,0.643,0.827,Theory & Methods,2015
Frontiers of Computer Science,FRONT COMPUT SCI-CHI,2095-2228,0.660,0.618,Theory & Methods,2015
INTERNATIONAL JOURNAL OF PARALLEL PROGRAMMING,INT J PARALLEL PROG,0885-7458,0.680,0.641,Theory & Methods,2015
INTERNATIONAL JOURNAL OF QUANTUM INFORMATION,INT J QUANTUM INF,0219-7499,0.701,0.863,Theory & Methods,2015
THEORY OF COMPUTING SYSTEMS,THEOR COMPUT SYST,1432-4350,0.719,0.700,Theory & Methods,2015
REAL-TIME SYSTEMS,REAL-TIME SYST,0922-6443,0.738,0.943,Theory & Methods,2015
International Journal of Unconventional Computing,INT J UNCONV COMPUT,1548-7199,0.739,0.802,Theory & Methods,2015
Cryptography and Communications-Discrete-Structures Boolean Functions and Sequences,CRYPTOGR COMMUN,1936-2447,0.742,0.753,Theory & Methods,2015
MATHEMATICAL STRUCTURES IN COMPUTER SCIENCE,MATH STRUCT COMP SCI,0960-1295,0.758,0.713,Theory & Methods,2015
ACM Transactions on Algorithms,ACM T ALGORITHMS,1549-6325,0.776,0.930,Theory & Methods,2015
DESIGNS CODES AND CRYPTOGRAPHY,DESIGN CODE CRYPTOGR,0925-1022,0.781,0.894,Theory & Methods,2015
JOURNAL OF COMPUTATIONAL ANALYSIS AND APPLICATIONS,J COMPUT ANAL APPL,1521-1398,0.799,0.627,Theory & Methods,2015
DISTRIBUTED AND PARALLEL DATABASES,DISTRIB PARALLEL DAT,0926-8782,0.800,1.099,Theory & Methods,2015
DISCRETE & COMPUTATIONAL GEOMETRY,DISCRETE COMPUT GEOM,0179-5376,0.816,0.935,Theory & Methods,2015
SIAM JOURNAL ON COMPUTING,SIAM J COMPUT,0097-5397,0.841,1.351,Theory & Methods,2015
ACM Transactions on Computational Logic,ACM T COMPUT LOG,1529-3785,0.855,1.159,Theory & Methods,2015
COMPUTING,COMPUTING,0010-485X,0.872,1.144,Theory & Methods,2015
INFORMATION AND COMPUTATION,INFORM COMPUT,0890-5401,0.873,0.918,Theory & Methods,2015
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,1532-0626,0.942,0.914,Theory & Methods,2015
PERFORMANCE EVALUATION,PERFORM EVALUATION,0166-5316,0.944,1.091,Theory & Methods,2015
EXPERT SYSTEMS,EXPERT SYST,0266-4720,0.947,1.000,Theory & Methods,2015
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,0.952,1.202,Theory & Methods,2015
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,0.982,1.260,Theory & Methods,2015
COMPUTER JOURNAL,COMPUT J,0010-4620,1.000,1.041,Theory & Methods,2015
PARALLEL COMPUTING,PARALLEL COMPUT,0167-8191,1.000,1.663,Theory & Methods,2015
IET Information Security,IET INFORM SECUR,1751-8709,1.013,1.179,Theory & Methods,2015
JOURNAL OF SYMBOLIC COMPUTATION,J SYMB COMPUT,0747-7171,1.030,0.970,Theory & Methods,2015
ARTIFICIAL LIFE,ARTIF LIFE,1064-5462,1.042,1.450,Theory & Methods,2015
Journal of Computational Science,J COMPUT SCI-NETH,1877-7503,1.078,1.553,Theory & Methods,2015
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS,INT J HIGH PERFORM C,1094-3420,1.081,1.484,Theory & Methods,2015
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,0920-8542,1.088,1.013,Theory & Methods,2015
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,1556-4665,1.118,1.204,Theory & Methods,2015
CONNECTION SCIENCE,CONNECT SCI,0954-0091,1.125,0.880,Theory & Methods,2015
FORMAL METHODS IN SYSTEM DESIGN,FORM METHOD SYST DES,0925-9856,1.132,1.161,Theory & Methods,2015
Genetic Programming and Evolvable Machines,GENET PROGRAM EVOL M,1389-2576,1.143,1.475,Theory & Methods,2015
DISTRIBUTED COMPUTING,DISTRIB COMPUT,0178-2770,1.263,1.061,Theory & Methods,2015
International Journal of Information Security,INT J INF SECUR,1615-5262,1.279,1.312,Theory & Methods,2015
Natural Computing,NAT COMPUT,1567-7818,1.310,1.019,Theory & Methods,2015
JOURNAL OF PARALLEL AND DISTRIBUTED COMPUTING,J PARALLEL DISTR COM,0743-7315,1.320,1.356,Theory & Methods,2015
QUANTUM INFORMATION & COMPUTATION,QUANTUM INF COMPUT,1533-7146,1.328,1.329,Theory & Methods,2015
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,1.331,1.403,Theory & Methods,2015
JOURNAL OF HEURISTICS,J HEURISTICS,1381-1231,1.344,1.768,Theory & Methods,2015
JOURNAL OF COMPLEXITY,J COMPLEXITY,0885-064X,1.358,1.621,Theory & Methods,2015
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1.361,1.817,Theory & Methods,2015
International Journal of Bio-Inspired Computation,INT J BIO-INSPIR COM,1758-0366,1.390,1.538,Theory & Methods,2015
MULTIMEDIA SYSTEMS,MULTIMEDIA SYST,0942-4962,1.410,1.262,Theory & Methods,2015
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,1.424,1.767,Theory & Methods,2015
MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING,MULTIDIM SYST SIGN P,0923-6082,1.436,1.434,Theory & Methods,2015
INFORMATION SYSTEMS FRONTIERS,INFORM SYST FRONT,1387-3326,1.450,2.248,Theory & Methods,2015
Cluster Computing-The Journal of Networks Software Tools and Applications,CLUSTER COMPUT,1386-7857,1.514,1.359,Theory & Methods,2015
Journal of Grid Computing,J GRID COMPUT,1570-7873,1.561,2.044,Theory & Methods,2015
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,0022-0000,1.583,1.598,Theory & Methods,2015
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,0734-2071,1.600,1.778,Theory & Methods,2015
JOURNAL OF CRYPTOLOGY,J CRYPTOL,0933-2790,1.617,2.043,Theory & Methods,2015
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,INT J GEN SYST,0308-1079,1.677,1.244,Theory & Methods,2015
Big Data,BIG DATA-US,2167-6461,1.696,1.696,Theory & Methods,2015
Wiley Interdisciplinary Reviews-Data Mining and Knowledge Discovery,WIRES DATA MIN KNOWL,1942-4787,1.759,2.185,Theory & Methods,2015
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1.766,2.584,Theory & Methods,2015
STATISTICS AND COMPUTING,STAT COMPUT,0960-3174,1.786,2.235,Theory & Methods,2015
Semantic Web,SEMANT WEB,1570-0844,1.786,2.413,Theory & Methods,2015
JOURNAL OF THE ACM,J ACM,0004-5411,1.803,3.318,Theory & Methods,2015
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,COMPUT METH PROG BIO,0169-2607,1.862,2.051,Theory & Methods,2015
INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE,INT J SYST SCI,0020-7721,1.947,1.837,Theory & Methods,2015
FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,1615-3375,1.986,2.667,Theory & Methods,2015
FUZZY SETS AND SYSTEMS,FUZZY SET SYST,0165-0114,2.098,2.376,Theory & Methods,2015
IEEE-ACM TRANSACTIONS ON NETWORKING,IEEE ACM T NETWORK,1063-6692,2.186,2.661,Theory & Methods,2015
Future Generation Computer Systems-The International Journal of eScience,FUTURE GENER COMP SY,0167-739X,2.430,2.335,Theory & Methods,2015
IEEE Transactions on Information Forensics and Security,IEEE T INF FOREN SEC,1556-6013,2.441,3.266,Theory & Methods,2015
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,IEEE T PARALL DISTR,1045-9219,2.661,2.749,Theory & Methods,2015
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2.963,5.770,Theory & Methods,2015
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,3.301,4.425,Theory & Methods,2015
EVOLUTIONARY COMPUTATION,EVOL COMPUT,1063-6560,3.600,4.153,Theory & Methods,2015
HUMAN-COMPUTER INTERACTION,HUM-COMPUT INTERACT,0737-0024,3.700,4.032,Theory & Methods,2015
