Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
ACADEMIC MEDICINE,ACAD MED,1040-2446,2.607,Not Available,Scientific Disciplines,2006
MEDICAL EDUCATION,MED EDUC,0308-0110,2.467,Not Available,Scientific Disciplines,2006
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1069-4730,1.515,Not Available,Scientific Disciplines,2006
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,1.260,Not Available,Scientific Disciplines,2006
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,1.065,Not Available,Scientific Disciplines,2006
MEDICAL TEACHER,MED TEACH,0142-159X,0.974,Not Available,Scientific Disciplines,2006
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,1499-4046,0.966,Not Available,Scientific Disciplines,2006
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,0.919,Not Available,Scientific Disciplines,2006
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,0.856,Not Available,Scientific Disciplines,2006
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,0002-9459,0.743,Not Available,Scientific Disciplines,2006
TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1040-1334,0.727,Not Available,Scientific Disciplines,2006
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0143-0807,0.595,Not Available,Scientific Disciplines,2006
JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,0021-9584,0.439,Not Available,Scientific Disciplines,2006
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,BIOCHEM MOL BIOL EDU,1470-8175,0.368,Not Available,Scientific Disciplines,2006
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,0018-9359,0.362,Not Available,Scientific Disciplines,2006
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,INT J ENG EDUC,0949-149X,0.355,Not Available,Scientific Disciplines,2006
JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,0021-9266,0.267,Not Available,Scientific Disciplines,2006
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,0957-7572,0.235,Not Available,Scientific Disciplines,2006
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.218,Not Available,Scientific Disciplines,2006
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,0.171,Not Available,Scientific Disciplines,2006
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,J PROF ISS ENG ED PR,1052-3928,0.090,Not Available,Scientific Disciplines,2006
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,INT J ELEC ENG EDUC,0020-7209,0.047,Not Available,Scientific Disciplines,2006
