Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
INTERNATIONAL JOURNAL OF ELECTRICAL ENGINEERING EDUCATION,INT J ELEC ENG EDUC,0020-7209,0.041,0.130,Scientific Disciplines,2012
Revista Brasileira de Ensino de Fisica,REV BRAS ENSINO FIS,1806-1117,0.099,0.153,Scientific Disciplines,2012
JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,0021-9266,0.269,0.559,Scientific Disciplines,2012
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,INT J ENG EDUC,0949-149X,0.290,0.363,Scientific Disciplines,2012
Indian Journal of Pharmaceutical Education and Research,INDIAN J PHARM EDUC,0019-5464,0.300,0.172,Scientific Disciplines,2012
COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,COMPUT APPL ENG EDUC,1061-3773,0.333,0.685,Scientific Disciplines,2012
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,INT J TECHNOL DES ED,0957-7572,0.339,0.418,Scientific Disciplines,2012
AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,0.390,0.396,Scientific Disciplines,2012
JOURNAL OF PROFESSIONAL ISSUES IN ENGINEERING EDUCATION AND PRACTICE,J PROF ISS ENG ED PR,1052-3928,0.439,0.435,Scientific Disciplines,2012
EUROPEAN JOURNAL OF PHYSICS,EUR J PHYS,0143-0807,0.644,0.653,Scientific Disciplines,2012
BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION,BIOCHEM MOL BIOL EDU,1470-8175,0.702,0.586,Scientific Disciplines,2012
Journal of Materials Education,J MATER EDUC,0738-7989,0.714,Not Available,Scientific Disciplines,2012
AMERICAN JOURNAL OF PHYSICS,AM J PHYS,0002-9505,0.782,0.867,Scientific Disciplines,2012
JOURNAL OF CHEMICAL EDUCATION,J CHEM EDUC,0021-9584,0.817,0.831,Scientific Disciplines,2012
JOURNAL OF CANCER EDUCATION,J CANCER EDUC,0885-8195,0.880,0.906,Scientific Disciplines,2012
TEACHING AND LEARNING IN MEDICINE,TEACH LEARN MED,1040-1334,0.935,1.123,Scientific Disciplines,2012
Journal of Science Education and Technology,J SCI EDUC TECHNOL,1059-0145,0.940,Not Available,Scientific Disciplines,2012
IEEE TRANSACTIONS ON EDUCATION,IEEE T EDUC,0018-9359,0.950,1.177,Scientific Disciplines,2012
European Journal of Dental Education,EUR J DENT EDUC,1396-5883,1.012,1.325,Scientific Disciplines,2012
Chemistry Education Research and Practice,CHEM EDUC RES PRACT,1109-4028,1.075,1.200,Scientific Disciplines,2012
CBE-Life Sciences Education,CBE-LIFE SCI EDUC,1931-7913,1.188,Not Available,Scientific Disciplines,2012
ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,1.217,1.554,Scientific Disciplines,2012
Studies in Science Education,STUD SCI EDUC,0305-7267,1.308,Not Available,Scientific Disciplines,2012
JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,J CONTIN EDUC HEALTH,0894-1912,1.321,1.761,Scientific Disciplines,2012
BMC Medical Education,BMC MED EDUC,1472-6920,1.409,Not Available,Scientific Disciplines,2012
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,1.495,2.014,Scientific Disciplines,2012
Physical Review Special Topics-Physics Education Research,PHYS REV SPEC TOP-PH,1554-9178,1.529,2.132,Scientific Disciplines,2012
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,J NUTR EDUC BEHAV,1499-4046,1.549,2.359,Scientific Disciplines,2012
Journal of Surgical Education,J SURG EDUC,1931-7204,1.634,Not Available,Scientific Disciplines,2012
MEDICAL TEACHER,MED TEACH,0142-159X,1.824,1.987,Scientific Disciplines,2012
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1069-4730,1.925,1.924,Scientific Disciplines,2012
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,2.061,2.606,Scientific Disciplines,2012
ACADEMIC MEDICINE,ACAD MED,1040-2446,3.292,3.284,Scientific Disciplines,2012
MEDICAL EDUCATION,MED EDUC,0308-0110,3.546,3.704,Scientific Disciplines,2012
