Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,3.226,Not Available,Special Education,2006
ANNALS OF DYSLEXIA,ANN DYSLEXIA,0736-9387,1.750,Not Available,Special Education,2006
DYSLEXIA,DYSLEXIA,1076-9242,1.615,Not Available,Special Education,2006
AMERICAN JOURNAL ON MENTAL RETARDATION,AM J MENT RETARD,0895-8017,1.598,Not Available,Special Education,2006
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,J POSIT BEHAV INTERV,1098-3007,1.429,Not Available,Special Education,2006
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,1.387,Not Available,Special Education,2006
MENTAL RETARDATION,MENT RETARD,0047-6765,1.373,Not Available,Special Education,2006
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,0022-2194,1.235,Not Available,Special Education,2006
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,1.154,Not Available,Special Education,2006
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,1.088,Not Available,Special Education,2006
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,0964-2633,1.068,Not Available,Special Education,2006
RESEARCH IN DEVELOPMENTAL DISABILITIES,RES DEV DISABIL,0891-4222,1.061,Not Available,Special Education,2006
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES,RES PRACT PERS SEV D,0274-9483,0.939,Not Available,Special Education,2006
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,J INTELLECT DEV DIS,1366-8250,0.925,Not Available,Special Education,2006
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,0.893,Not Available,Special Education,2006
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,0.848,Not Available,Special Education,2006
INTERNATIONAL REVIEW OF RESEARCH IN MENTAL RETARDATION,INT REV RES MENT RET,0074-7750,0.722,Not Available,Special Education,2006
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,0.711,Not Available,Special Education,2006
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.623,Not Available,Special Education,2006
INFANTS AND YOUNG CHILDREN,INFANT YOUNG CHILD,0896-3746,0.589,Not Available,Special Education,2006
BRITISH JOURNAL OF DEVELOPMENTAL DISABILITIES,BRIT J DEV DISABIL,0969-7950,0.550,Not Available,Special Education,2006
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0016-9862,0.467,Not Available,Special Education,2006
EDUCATION AND TRAINING IN DEVELOPMENTAL DISABILITIES,EDUC TRAIN DEV DISAB,1547-0350,0.424,Not Available,Special Education,2006
HIGH ABILITY STUDIES,HIGH ABIL STUD,1359-8139,0.276,Not Available,Special Education,2006
VOLTA REVIEW,VOLTA REV,0042-8639,0.257,Not Available,Special Education,2006
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,1053-4512,0.157,Not Available,Special Education,2006
FOCUS ON EXCEPTIONAL CHILDREN,FOCUS EXCEPT CHILD,0015-511X,0.000,Not Available,Special Education,2006
