Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,1.836,Not Available,Special Education,1997
AMERICAN JOURNAL ON MENTAL RETARDATION,AM J MENT RETARD,0895-8017,1.598,Not Available,Special Education,1997
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,1.500,Not Available,Special Education,1997
MENTAL RETARDATION,MENT RETARD,0047-6765,1.093,Not Available,Special Education,1997
ANNALS OF DYSLEXIA,ANN DYSLEXIA,0736-9387,1.042,Not Available,Special Education,1997
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,0.807,Not Available,Special Education,1997
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,0964-2633,0.798,Not Available,Special Education,1997
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,0.689,Not Available,Special Education,1997
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL,0022-2194,0.634,Not Available,Special Education,1997
EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES,EDUC TRAIN MENT RET,0013-1237,0.632,Not Available,Special Education,1997
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,0.628,Not Available,Special Education,1997
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,0.607,Not Available,Special Education,1997
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0016-9862,0.542,Not Available,Special Education,1997
FOCUS ON EXCEPTIONAL CHILDREN,FOCUS EXCEPT CHILD,0015-511X,0.474,Not Available,Special Education,1997
JOURNAL FOR THE EDUCATION OF THE GIFTED,J EDUC GIFTED,0162-3532,0.356,Not Available,Special Education,1997
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,0.347,Not Available,Special Education,1997
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,1053-4512,0.308,Not Available,Special Education,1997
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.300,Not Available,Special Education,1997
INFANTS AND YOUNG CHILDREN,INFANT YOUNG CHILD,0896-3746,0.290,Not Available,Special Education,1997
BRITISH JOURNAL OF DEVELOPMENTAL DISABILITIES,BRIT J DEV DISABIL,0969-7950,0.258,Not Available,Special Education,1997
VOLTA REVIEW,VOLTA REV,0042-8639,0.156,Not Available,Special Education,1997
