Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
EXCEPTIONAL CHILDREN,EXCEPT CHILDREN,0014-4029,1.639,Not Available,Special Education,2001
AMERICAN JOURNAL ON MENTAL RETARDATION,AM J MENT RETARD,0895-8017,1.520,Not Available,Special Education,2001
JOURNAL OF LEARNING DISABILITIES,J LEARN DISABIL-US,0022-2194,1.333,Not Available,Special Education,2001
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,1.116,Not Available,Special Education,2001
MENTAL RETARDATION,MENT RETARD,0047-6765,1.077,Not Available,Special Education,2001
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,J INTELL DISABIL RES,0964-2633,1.010,Not Available,Special Education,2001
TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION,TOP EARLY CHILD SPEC,0271-1214,0.860,Not Available,Special Education,2001
LEARNING DISABILITY QUARTERLY,LEARN DISABILITY Q,0731-9487,0.667,Not Available,Special Education,2001
ANNALS OF DYSLEXIA,ANN DYSLEXIA,0736-9387,0.591,Not Available,Special Education,2001
JOURNAL OF EARLY INTERVENTION,J EARLY INTERVENTION,1053-8151,0.585,Not Available,Special Education,2001
INTERNATIONAL REVIEW OF RESEARCH IN MENTAL RETARDATION,INT REV RES MENT RET,0074-7750,0.500,Not Available,Special Education,2001
VOLTA REVIEW,VOLTA REV,0042-8639,0.500,Not Available,Special Education,2001
GIFTED CHILD QUARTERLY,GIFTED CHILD QUART,0016-9862,0.425,Not Available,Special Education,2001
JOURNAL OF FLUENCY DISORDERS,J FLUENCY DISORD,0094-730X,0.382,Not Available,Special Education,2001
INFANTS AND YOUNG CHILDREN,INFANT YOUNG CHILD,0896-3746,0.379,Not Available,Special Education,2001
REMEDIAL AND SPECIAL EDUCATION,REM SPEC EDUC,0741-9325,0.310,Not Available,Special Education,2001
EDUCATION AND TRAINING IN MENTAL RETARDATION AND DEVELOPMENTAL DISABILITIES,EDUC TRAIN MENT RET,0013-1237,0.286,Not Available,Special Education,2001
JOURNAL FOR THE EDUCATION OF THE GIFTED,J EDUC GIFTED,0162-3532,0.273,Not Available,Special Education,2001
AMERICAN ANNALS OF THE DEAF,AM ANN DEAF,0002-726X,0.210,Not Available,Special Education,2001
BRITISH JOURNAL OF DEVELOPMENTAL DISABILITIES,BRIT J DEV DISABIL,0969-7950,0.174,Not Available,Special Education,2001
FOCUS ON EXCEPTIONAL CHILDREN,FOCUS EXCEPT CHILD,0015-511X,0.111,Not Available,Special Education,2001
INTERVENTION IN SCHOOL AND CLINIC,INTERV SCH CLIN,1053-4512,0.090,Not Available,Special Education,2001
