Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
JOURNAL OF THE ACM,J ACM,0004-5411,1.703,Not Available,Software Graphics & Programming,1998
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.698,Not Available,Software Graphics & Programming,1998
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1.364,Not Available,Software Graphics & Programming,1998
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1.153,Not Available,Software Graphics & Programming,1998
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1.125,Not Available,Software Graphics & Programming,1998
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1.069,Not Available,Software Graphics & Programming,1998
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.052,Not Available,Software Graphics & Programming,1998
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1.032,Not Available,Software Graphics & Programming,1998
IEEE MICRO,IEEE MICRO,0272-1732,0.992,Not Available,Software Graphics & Programming,1998
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,0.854,Not Available,Software Graphics & Programming,1998
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,0.841,Not Available,Software Graphics & Programming,1998
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,0.839,Not Available,Software Graphics & Programming,1998
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,0.820,Not Available,Software Graphics & Programming,1998
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,0.759,Not Available,Software Graphics & Programming,1998
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,0.753,Not Available,Software Graphics & Programming,1998
JOURNAL OF SOFTWARE MAINTENANCE-RESEARCH AND PRACTICE,J SOFTW MAINT-RES PR,1040-550X,0.711,Not Available,Software Graphics & Programming,1998
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,0.710,Not Available,Software Graphics & Programming,1998
COMPUTER,COMPUTER,0018-9162,0.687,Not Available,Software Graphics & Programming,1998
GRAPHICAL MODELS AND IMAGE PROCESSING,GRAPH MODEL IM PROC,1077-3169,0.674,Not Available,Software Graphics & Programming,1998
OBJECT ORIENTED SYSTEMS,OBJECT ORIENTED SYST,0969-9767,0.667,Not Available,Software Graphics & Programming,1998
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,0.635,Not Available,Software Graphics & Programming,1998
BIT,BIT,0006-3835,0.623,Not Available,Software Graphics & Programming,1998
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,1045-926X,0.545,Not Available,Software Graphics & Programming,1998
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,0.543,Not Available,Software Graphics & Programming,1998
ALGORITHMICA,ALGORITHMICA,0178-4617,0.517,Not Available,Software Graphics & Programming,1998
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,0.513,Not Available,Software Graphics & Programming,1998
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1042-9832,0.464,Not Available,Software Graphics & Programming,1998
REAL-TIME IMAGING,REAL-TIME IMAGING,1077-2014,0.452,Not Available,Software Graphics & Programming,1998
SOFTWARE-CONCEPTS AND TOOLS,SOFTWARE-CONC TOOL,0945-8115,0.452,Not Available,Software Graphics & Programming,1998
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.431,Not Available,Software Graphics & Programming,1998
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,0.426,Not Available,Software Graphics & Programming,1998
COMPUTERS & GRAPHICS,COMPUT GRAPH,0097-8493,0.420,Not Available,Software Graphics & Programming,1998
JOURNAL OF VISUALIZATION AND COMPUTER ANIMATION,J VISUAL COMP ANIMAT,1049-8907,0.414,Not Available,Software Graphics & Programming,1998
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,0038-0644,0.396,Not Available,Software Graphics & Programming,1998
ICCA JOURNAL,ICCA J,0920-234X,0.395,Not Available,Software Graphics & Programming,1998
VISUAL COMPUTER,VISUAL COMPUT,0178-2789,0.382,Not Available,Software Graphics & Programming,1998
LIBRARY SOFTWARE REVIEW,LIBR SOFTWARE REV,0742-5759,0.375,Not Available,Software Graphics & Programming,1998
CONCURRENCY-PRACTICE AND EXPERIENCE,CONCURRENCY-PRACT EX,1040-3108,0.308,Not Available,Software Graphics & Programming,1998
TRANSACTIONS OF THE SOCIETY FOR COMPUTER SIMULATION INTERNATIONAL,T SOC COMPUT SIMUL,0740-6797,0.294,Not Available,Software Graphics & Programming,1998
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.268,Not Available,Software Graphics & Programming,1998
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,0.255,Not Available,Software Graphics & Programming,1998
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,0.251,Not Available,Software Graphics & Programming,1998
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,0.243,Not Available,Software Graphics & Programming,1998
COMPUTER JOURNAL,COMPUT J,0010-4620,0.242,Not Available,Software Graphics & Programming,1998
ENVIRONMENTAL SOFTWARE,ENVIRON SOFTW,0266-9838,0.235,Not Available,Software Graphics & Programming,1998
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,0.235,Not Available,Software Graphics & Programming,1998
SIMULATION,SIMULATION,0037-5497,0.221,Not Available,Software Graphics & Programming,1998
JOURNAL OF PROGRAMMING LANGUAGES,J PROGRAM LANG,0963-9306,0.200,Not Available,Software Graphics & Programming,1998
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,0.184,Not Available,Software Graphics & Programming,1998
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,0.176,Not Available,Software Graphics & Programming,1998
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,0.174,Not Available,Software Graphics & Programming,1998
COMPUTER COMMUNICATIONS,COMPUT COMMUN,0140-3664,0.167,Not Available,Software Graphics & Programming,1998
COMPUTER LANGUAGES,COMPUT LANG,0096-0551,0.160,Not Available,Software Graphics & Programming,1998
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,0.160,Not Available,Software Graphics & Programming,1998
COMPUTER STANDARDS & INTERFACES,COMP STAND INTER,0920-5489,0.157,Not Available,Software Graphics & Programming,1998
