Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,2.695,Not Available,Software Graphics & Programming,1999
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,1.852,Not Available,Software Graphics & Programming,1999
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1.846,Not Available,Software Graphics & Programming,1999
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.779,Not Available,Software Graphics & Programming,1999
JOURNAL OF THE ACM,J ACM,0004-5411,1.597,Not Available,Software Graphics & Programming,1999
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1.318,Not Available,Software Graphics & Programming,1999
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1.312,Not Available,Software Graphics & Programming,1999
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1.306,Not Available,Software Graphics & Programming,1999
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1.241,Not Available,Software Graphics & Programming,1999
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,1.216,Not Available,Software Graphics & Programming,1999
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.216,Not Available,Software Graphics & Programming,1999
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1.162,Not Available,Software Graphics & Programming,1999
GRAPHICAL MODELS AND IMAGE PROCESSING,GRAPH MODEL IM PROC,1077-3169,1.014,Not Available,Software Graphics & Programming,1999
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,0.969,Not Available,Software Graphics & Programming,1999
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,0.938,Not Available,Software Graphics & Programming,1999
IEEE MICRO,IEEE MICRO,0272-1732,0.892,Not Available,Software Graphics & Programming,1999
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,0.840,Not Available,Software Graphics & Programming,1999
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,0.814,Not Available,Software Graphics & Programming,1999
COMPUTER,COMPUTER,0018-9162,0.791,Not Available,Software Graphics & Programming,1999
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.739,Not Available,Software Graphics & Programming,1999
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,0.720,Not Available,Software Graphics & Programming,1999
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.662,Not Available,Software Graphics & Programming,1999
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,0.645,Not Available,Software Graphics & Programming,1999
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,0.630,Not Available,Software Graphics & Programming,1999
VISUAL COMPUTER,VISUAL COMPUT,0178-2789,0.543,Not Available,Software Graphics & Programming,1999
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,0.536,Not Available,Software Graphics & Programming,1999
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.509,Not Available,Software Graphics & Programming,1999
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,0.492,Not Available,Software Graphics & Programming,1999
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1042-9832,0.459,Not Available,Software Graphics & Programming,1999
SIMULATION,SIMULATION,0037-5497,0.457,Not Available,Software Graphics & Programming,1999
BIT,BIT,0006-3835,0.450,Not Available,Software Graphics & Programming,1999
