Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPUTER SYSTEMS SCIENCE AND ENGINEERING,COMPUT SYST SCI ENG,0267-6192,0.076,0.174,Hardware & Architecture,2012
IEICE TRANSACTIONS ON FUNDAMENTALS OF ELECTRONICS COMMUNICATIONS AND COMPUTER SCIENCES,IEICE T FUND ELECTR,0916-8508,0.238,0.270,Hardware & Architecture,2012
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,J CIRCUIT SYST COMP,0218-1266,0.238,0.229,Hardware & Architecture,2012
IET Computers and Digital Techniques,IET COMPUT DIGIT TEC,1751-8601,0.284,0.447,Hardware & Architecture,2012
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.286,0.435,Hardware & Architecture,2012
CANADIAN JOURNAL OF ELECTRICAL AND COMPUTER ENGINEERING-REVUE CANADIENNE DE GENIE ELECTRIQUE ET INFORMATIQUE,CAN J ELECT COMPUT E,0840-8688,0.333,0.415,Hardware & Architecture,2012
Advances in Computers,ADV COMPUT,0065-2458,0.389,0.452,Hardware & Architecture,2012
INTEGRATION-THE VLSI JOURNAL,INTEGRATION,0167-9260,0.414,0.452,Hardware & Architecture,2012
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,1000-9000,0.477,0.692,Hardware & Architecture,2012
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,1936-7406,0.516,Not Available,Hardware & Architecture,2012
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,0.522,0.819,Hardware & Architecture,2012
MICROPROCESSORS AND MICROSYSTEMS,MICROPROCESS MICROSY,0141-9331,0.549,0.592,Hardware & Architecture,2012
ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING,ANALOG INTEGR CIRC S,0925-1030,0.553,0.567,Hardware & Architecture,2012
NETWORKS,NETWORKS,0028-3045,0.645,0.949,Hardware & Architecture,2012
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,1544-3566,0.684,0.615,Hardware & Architecture,2012
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0018-8646,0.688,1.684,Hardware & Architecture,2012
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,0.724,0.765,Hardware & Architecture,2012
COMPUTER JOURNAL,COMPUT J,0010-4620,0.755,0.954,Hardware & Architecture,2012
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,1550-4832,0.759,0.949,Hardware & Architecture,2012
NEW GENERATION COMPUTING,NEW GENERAT COMPUT,0288-3635,0.795,0.583,Hardware & Architecture,2012
PERFORMANCE EVALUATION,PERFORM EVALUATION,0166-5316,0.841,1.093,Hardware & Architecture,2012
IEEE Computer Architecture Letters,IEEE COMPUT ARCHIT L,1556-6056,0.852,Not Available,Hardware & Architecture,2012
JOURNAL OF SUPERCOMPUTING,J SUPERCOMPUT,0920-8542,0.917,0.867,Hardware & Architecture,2012
COMPUTERS & ELECTRICAL ENGINEERING,COMPUT ELECTR ENG,0045-7906,0.928,0.970,Hardware & Architecture,2012
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,0.978,1.420,Hardware & Architecture,2012
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,0.984,1.145,Hardware & Architecture,2012
JOURNAL OF COMPUTER AND SYSTEM SCIENCES,J COMPUT SYST SCI,0022-0000,1.000,1.106,Hardware & Architecture,2012
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1.059,1.576,Hardware & Architecture,2012
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,IEEE T COMPUT AID D,0278-0070,1.093,1.323,Hardware & Architecture,2012
DISPLAYS,DISPLAYS,0141-9382,1.101,1.360,Hardware & Architecture,2012
MOBILE NETWORKS & APPLICATIONS,MOBILE NETW APPL,1383-469X,1.109,1.201,Hardware & Architecture,2012
ACM Transactions on Storage,ACM T STORAGE,1553-3077,1.115,Not Available,Hardware & Architecture,2012
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,1.178,1.582,Hardware & Architecture,2012
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,IEEE T VLSI SYST,1063-8210,1.218,1.252,Hardware & Architecture,2012
