Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Croatian Journal of Education-Hrvatski Casopis za Odgoj i obrazovanje,CROAT J EDUC,1848-5189,0.034,0.034,Education & Educational Research,2013
RUSSIAN EDUCATION AND SOCIETY,RUSS EDUC SOC,1060-9393,0.046,0.061,Education & Educational Research,2013
Porta Linguarum,PORTA LINGUARUM,1697-7467,0.058,0.079,Education & Educational Research,2013
Journal of Hospitality Leisure Sport & Tourism Education,J HOSP LEIS SPORT TO,1473-8376,0.062,0.325,Education & Educational Research,2013
Movimento,MOVIMENTO-PORTO ALEG,0104-754X,0.070,0.080,Education & Educational Research,2013
KEDI Journal of Educational Policy,KEDI J EDUC POLICY,1739-4341,0.086,0.190,Education & Educational Research,2013
Revista Espanola de Pedagogia,REV ESP PEDAGOG,0034-9461,0.093,0.231,Education & Educational Research,2013
Ensenanza de Las Ciencias,ENSEN CIENC,0212-4521,0.103,0.230,Education & Educational Research,2013
Australian Journal of Adult Learning,AUST J ADULT LEARN,1443-1394,0.113,0.165,Education & Educational Research,2013
Revista Latinoamericana de Investigacion en Matematica Educativa-RELIME,REV LAT AM INV MAT E,1665-2436,0.120,0.279,Education & Educational Research,2013
EDUCATIONAL LEADERSHIP,EDUC LEADERSHIP,0013-1784,0.123,0.225,Education & Educational Research,2013
Educacion XX1,EDUC XX1,1139-613X,0.163,0.184,Education & Educational Research,2013
Hacettepe Universitesi Egitim Fakultesi Dergisi-Hacettepe University Journal of Education,HACET U EGITIM FAK,1300-5340,0.187,0.315,Education & Educational Research,2013
RIDE-The Journal of Applied Theatre and Performance,RIDE-J APPL THEATRE,1356-9783,0.191,Not Available,Education & Educational Research,2013
Educational Assessment Evaluation and Accountability,EDUC ASSESS EVAL ACC,1874-8597,0.194,0.736,Education & Educational Research,2013
Research in Science & Technological Education,RES SCI TECHNOL EDUC,0263-5143,0.194,Not Available,Education & Educational Research,2013
Kuram ve Uygulamada Egitim Bilimleri,KURAM UYGUL EGIT BIL,1303-0485,0.197,0.292,Education & Educational Research,2013
Journal of Beliefs & Values-Studies in Religion & Education,J BELIEFS VALUES,1361-7672,0.200,0.175,Education & Educational Research,2013
Revista de Educacion,REV EDUC,0034-8082,0.201,0.447,Education & Educational Research,2013
PHI DELTA KAPPAN,PHI DELTA KAPPAN,0031-7217,0.214,0.190,Education & Educational Research,2013
British Journal of Music Education,BRIT J MUSIC EDUC,0265-0517,0.217,Not Available,Education & Educational Research,2013
European Early Childhood Education Research Journal,EUR EARLY CHILD EDUC,1350-293X,0.217,0.510,Education & Educational Research,2013
Education as Change,EDUC CHANGE,1682-3206,0.218,0.250,Education & Educational Research,2013
