Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
RUSSIAN EDUCATION AND SOCIETY,RUSS EDUC SOC,1060-9393,0.046,0.027,Education & Educational Research,2008
PAEDAGOGICA HISTORICA,PAEDAGOG HIST,0030-9230,0.074,Not Available,Education & Educational Research,2008
Asia Pacific Education Review,ASIA PAC EDUC REV,1598-1037,0.077,Not Available,Education & Educational Research,2008
CHINESE EDUCATION AND SOCIETY,CHINESE EDUC SOC,1061-1932,0.082,0.098,Education & Educational Research,2008
Zeitschrift fur Soziologie der Erziehung und Sozialisation,Z SOZIOL ERZIEH SOZI,1436-1957,0.111,Not Available,Education & Educational Research,2008
PERSPECTIVES IN EDUCATION,PERSPECT EDUC,0258-2236,0.118,0.214,Education & Educational Research,2008
AUSTRALIAN JOURNAL OF EDUCATION,AUST J EDUC,0004-9441,0.150,Not Available,Education & Educational Research,2008
INTERNATIONAL JOURNAL OF ART & DESIGN EDUCATION,INT J ART DES EDUC,1476-8062,0.167,0.181,Education & Educational Research,2008
APPLIED MEASUREMENT IN EDUCATION,APPL MEAS EDUC,0895-7347,0.200,0.440,Education & Educational Research,2008
EDUCATIONAL LEADERSHIP,EDUC LEADERSHIP,0013-1784,0.207,0.355,Education & Educational Research,2008
JOURNAL OF ECONOMIC EDUCATION,J ECON EDUC,0022-0485,0.237,0.294,Education & Educational Research,2008
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,INNOV EDUC TEACH INT,1470-3297,0.250,0.586,Education & Educational Research,2008
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,0.258,0.500,Education & Educational Research,2008
FOREIGN LANGUAGE ANNALS,FOREIGN LANG ANN,0015-718X,0.260,0.390,Education & Educational Research,2008
South African Journal of Education,S AFR J EDUC,0256-0100,0.262,Not Available,Education & Educational Research,2008
PHI DELTA KAPPAN,PHI DELTA KAPPAN,0031-7217,0.266,0.324,Education & Educational Research,2008
ZEITSCHRIFT FUR PADAGOGIK,Z PADAGOGIK,0044-3247,0.277,0.302,Education & Educational Research,2008
TEACHING OF PSYCHOLOGY,TEACH PSYCHOL,0098-6283,0.288,0.497,Education & Educational Research,2008
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,0161-7761,0.326,0.604,Education & Educational Research,2008
EDUCATIONAL GERONTOLOGY,EDUC GERONTOL,0360-1277,0.344,0.640,Education & Educational Research,2008
AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,0311-6999,0.350,0.510,Education & Educational Research,2008
THEORY INTO PRACTICE,THEOR PRACT,0040-5841,0.355,0.765,Education & Educational Research,2008
JOURNAL OF LEGAL EDUCATION,J LEGAL EDUC,0022-2208,0.358,0.396,Education & Educational Research,2008
Revista Espanola de Pedagogia,REV ESP PEDAGOG,0034-9461,0.370,Not Available,Education & Educational Research,2008
CURRICULUM INQUIRY,CURRICULUM INQ,0362-6784,0.379,0.463,Education & Educational Research,2008
JOURNAL OF CURRICULUM STUDIES,J CURRICULUM STUD,0022-0272,0.384,0.616,Education & Educational Research,2008
ADULT EDUCATION QUARTERLY,ADULT EDUC QUART,0741-7136,0.387,0.551,Education & Educational Research,2008
JOURNAL OF PHILOSOPHY OF EDUCATION,J PHILOS EDUC,0309-8249,0.395,0.489,Education & Educational Research,2008
EDUCATIONAL POLICY,EDUC POLICY,0895-9048,0.400,0.831,Education & Educational Research,2008
MINERVA,MINERVA,0026-4695,0.426,0.817,Education & Educational Research,2008
EDUCATIONAL REVIEW,EDUC REV,0013-1911,0.473,0.802,Education & Educational Research,2008
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,0013-161X,0.477,0.815,Education & Educational Research,2008
READING TEACHER,READ TEACH,0034-0561,0.485,0.512,Education & Educational Research,2008
JOURNAL OF MORAL EDUCATION,J MORAL EDUC,0305-7240,0.492,0.593,Education & Educational Research,2008
JOURNAL OF ADOLESCENT & ADULT LITERACY,J ADOLESC ADULT LIT,1081-3004,0.495,0.457,Education & Educational Research,2008
EDUCATION AND URBAN SOCIETY,EDUC URBAN SOC,0013-1245,0.500,0.533,Education & Educational Research,2008
RESEARCH IN SCIENCE EDUCATION,RES SCI EDUC,0157-244X,0.500,0.625,Education & Educational Research,2008
