Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
READING RESEARCH QUARTERLY,READ RES QUART,0034-0553,2.486,Not Available,Education & Educational Research,2000
REVIEW OF RESEARCH IN EDUCATION,REV RES EDUC,0091-732X,2.421,Not Available,Education & Educational Research,2000
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,0034-6543,2.088,Not Available,Education & Educational Research,2000
JOURNAL OF AMERICAN COLLEGE HEALTH,J AM COLL HEALTH,0744-8481,1.588,Not Available,Education & Educational Research,2000
JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,1050-8406,1.286,Not Available,Education & Educational Research,2000
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,0038-0407,1.241,Not Available,Education & Educational Research,2000
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,J GEOGR HIGHER EDUC,0309-8265,1.140,Not Available,Education & Educational Research,2000
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1076-9986,1.088,Not Available,Education & Educational Research,2000
RESEARCH IN THE TEACHING OF ENGLISH,RES TEACH ENGL,0034-527X,1.080,Not Available,Education & Educational Research,2000
JOURNAL OF SOCIAL WORK EDUCATION,J SOC WORK EDUC,1043-7797,1.046,Not Available,Education & Educational Research,2000
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1.044,Not Available,Education & Educational Research,2000
JOURNAL OF RESEARCH IN SCIENCE TEACHING,J RES SCI TEACH,0022-4308,0.992,Not Available,Education & Educational Research,2000
HARVARD EDUCATIONAL REVIEW,HARVARD EDUC REV,0017-8055,0.963,Not Available,Education & Educational Research,2000
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,BRIT J SOCIOL EDUC,0142-5692,0.948,Not Available,Education & Educational Research,2000
HEALTH EDUCATION RESEARCH,HEALTH EDUC RES,0268-1153,0.922,Not Available,Education & Educational Research,2000
SCIENCE EDUCATION,SCI EDUC,0036-8326,0.918,Not Available,Education & Educational Research,2000
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,0.909,Not Available,Education & Educational Research,2000
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0195-6744,0.900,Not Available,Education & Educational Research,2000
ELEMENTARY SCHOOL JOURNAL,ELEM SCHOOL J,0013-5984,0.865,Not Available,Education & Educational Research,2000
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,0162-3737,0.857,Not Available,Education & Educational Research,2000
REVIEW OF HIGHER EDUCATION,REV HIGH EDUC,0162-5748,0.837,Not Available,Education & Educational Research,2000
TESOL QUARTERLY,TESOL QUART,0039-8322,0.806,Not Available,Education & Educational Research,2000
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,0.789,Not Available,Education & Educational Research,2000
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,0010-4086,0.710,Not Available,Education & Educational Research,2000
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,INT J SCI EDUC,0950-0693,0.705,Not Available,Education & Educational Research,2000
OXFORD REVIEW OF EDUCATION,OXFORD REV EDUC,0305-4985,0.703,Not Available,Education & Educational Research,2000
