Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
Literacy,LITERACY,1741-4350,0.400,Not Available,Education & Educational Research,2011
European Journal of Education,EUR J EDUC,0141-8211,0.403,Not Available,Education & Educational Research,2011
Revista de Educacion,REV EDUC,0034-8082,0.409,Not Available,Education & Educational Research,2011
Studies in Continuing Education,STUD CONTIN EDUC,0158-037X,0.419,Not Available,Education & Educational Research,2011
QUEST,QUEST,0033-6297,0.424,0.689,Education & Educational Research,2011
Journal of Baltic Science Education,J BALT SCI EDUC,1648-3898,0.425,Not Available,Education & Educational Research,2011
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,0161-7761,0.439,0.736,Education & Educational Research,2011
JOURNAL OF EDUCATIONAL COMPUTING RESEARCH,J EDUC COMPUT RES,0735-6331,0.440,Not Available,Education & Educational Research,2011
European Early Childhood Education Research Journal,EUR EARLY CHILD EDUC,1350-293X,0.458,Not Available,Education & Educational Research,2011
GENDER AND EDUCATION,GENDER EDUC,0954-0253,0.460,0.897,Education & Educational Research,2011
History of Education,HIST EDUC,0046-760X,0.462,Not Available,Education & Educational Research,2011
TEACHING OF PSYCHOLOGY,TEACH PSYCHOL,0098-6283,0.465,0.549,Education & Educational Research,2011
Comunicar,COMUNICAR,1134-3478,0.470,Not Available,Education & Educational Research,2011
AUSTRALIAN JOURNAL OF EDUCATION,AUST J EDUC,0004-9441,0.472,0.500,Education & Educational Research,2011
Asia Pacific Education Review,ASIA PAC EDUC REV,1598-1037,0.472,0.433,Education & Educational Research,2011
FOREIGN LANGUAGE ANNALS,FOREIGN LANG ANN,0015-718X,0.474,0.676,Education & Educational Research,2011
British Journal of Religious Education,BRIT J RELIG EDUC,0141-6200,0.475,Not Available,Education & Educational Research,2011
EDUCATIONAL RESEARCH,EDUC RES-UK,0013-1881,0.480,0.925,Education & Educational Research,2011
Asia Pacific Journal of Education,ASIA PAC J EDUC,0218-8791,0.492,Not Available,Education & Educational Research,2011
European Physical Education Review,EUR PHYS EDUC REV,1356-336X,0.500,0.774,Education & Educational Research,2011
Research Papers in Education,RES PAP EDUC,0267-1522,0.511,Not Available,Education & Educational Research,2011
Discourse-Studies in the Cultural Politics of Education,DISCOURSE-ABINGDON,0159-6306,0.512,Not Available,Education & Educational Research,2011
Music Education Research,MUSIC EDUC RES,1461-3808,0.519,Not Available,Education & Educational Research,2011
International Journal of Science and Mathematics Education,INT J SCI MATH EDUC,1571-0068,0.529,Not Available,Education & Educational Research,2011
Mind Culture and Activity,MIND CULT ACT,1074-9039,0.531,Not Available,Education & Educational Research,2011
Race Ethnicity and Education,RACE ETHNIC EDUC-UK,1361-3324,0.533,Not Available,Education & Educational Research,2011
Language Teaching Research,LANG TEACH RES,1362-1688,0.535,0.911,Education & Educational Research,2011
THEORY INTO PRACTICE,THEOR PRACT,0040-5841,0.535,0.719,Education & Educational Research,2011
Educational Studies in Mathematics,EDUC STUD MATH,0013-1954,0.549,Not Available,Education & Educational Research,2011
Asia-Pacific Journal of Teacher Education,ASIA-PAC J TEACH EDU,1359-866X,0.556,Not Available,Education & Educational Research,2011
URBAN EDUCATION,URBAN EDUC,0042-0859,0.557,1.007,Education & Educational Research,2011
European Journal of Teacher Education,EUR J TEACH EDUC,0261-9768,0.566,Not Available,Education & Educational Research,2011
BRITISH JOURNAL OF EDUCATIONAL STUDIES,BRIT J EDUC STUD,0007-1005,0.568,1.168,Education & Educational Research,2011
Language Teaching,LANG TEACHING,0261-4448,0.622,Not Available,Education & Educational Research,2011
EDUCATIONAL POLICY,EDUC POLICY,0895-9048,0.623,0.682,Education & Educational Research,2011
Educational Management Administration & Leadership,EDUC MANAG ADM LEAD,1741-1432,0.638,Not Available,Education & Educational Research,2011
JOURNAL OF ENVIRONMENTAL EDUCATION,J ENVIRON EDUC,0095-8964,0.655,Not Available,Education & Educational Research,2011
EDUCATIONAL REVIEW,EDUC REV,0013-1911,0.660,0.992,Education & Educational Research,2011
ELT Journal,ELT J,0951-0893,0.677,Not Available,Education & Educational Research,2011
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,J COLL STUDENT DEV,0897-5264,0.678,1.184,Education & Educational Research,2011
Technology Pedagogy and Education,TECHNOL PEDAGOG EDUC,1475-939X,0.680,Not Available,Education & Educational Research,2011
Journal of Diversity in Higher Education,J DIVERS HIGH EDUC,1938-8926,0.683,0.871,Education & Educational Research,2011
International Review of Research in Open and Distance Learning,INT REV RES OPEN DIS,1492-3831,0.687,Not Available,Education & Educational Research,2011
JOURNAL OF MORAL EDUCATION,J MORAL EDUC,0305-7240,0.692,0.721,Education & Educational Research,2011
Educational Assessment Evaluation and Accountability,EDUC ASSESS EVAL ACC,1874-8597,0.694,0.694,Education & Educational Research,2011
