Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,1050-8406,3.040,Not Available,Education & Educational Research,2006
SCIENTIFIC STUDIES OF READING,SCI STUD READ,1088-8438,2.382,Not Available,Education & Educational Research,2006
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,0034-6543,1.897,Not Available,Education & Educational Research,2006
INSTRUCTIONAL SCIENCE,INSTR SCI,0020-4277,1.810,Not Available,Education & Educational Research,2006
LEARNING AND INSTRUCTION,LEARN INSTR,0959-4752,1.717,Not Available,Education & Educational Research,2006
HEALTH EDUCATION RESEARCH,HEALTH EDUC RES,0268-1153,1.623,Not Available,Education & Educational Research,2006
JOURNAL OF AMERICAN COLLEGE HEALTH,J AM COLL HEALTH,0744-8481,1.521,Not Available,Education & Educational Research,2006
JOURNAL OF ENGINEERING EDUCATION,J ENG EDUC,1069-4730,1.515,Not Available,Education & Educational Research,2006
AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1.424,Not Available,Education & Educational Research,2006
AMERICAN EDUCATIONAL RESEARCH JOURNAL,AM EDUC RES J,0002-8312,1.388,Not Available,Education & Educational Research,2006
SCIENCE EDUCATION,SCI EDUC,0036-8326,1.362,Not Available,Education & Educational Research,2006
JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,J GEOGR HIGHER EDUC,0309-8265,1.321,Not Available,Education & Educational Research,2006
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1094-3501,1.310,Not Available,Education & Educational Research,2006
READING RESEARCH QUARTERLY,READ RES QUART,0034-0553,1.218,Not Available,Education & Educational Research,2006
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,0038-0407,1.138,Not Available,Education & Educational Research,2006
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,1.085,Not Available,Education & Educational Research,2006
SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,1357-3322,1.081,Not Available,Education & Educational Research,2006
SECOND LANGUAGE RESEARCH,SECOND LANG RES,0267-6583,1.069,Not Available,Education & Educational Research,2006
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,1.065,Not Available,Education & Educational Research,2006
JOURNAL OF RESEARCH IN SCIENCE TEACHING,J RES SCI TEACH,0022-4308,1.022,Not Available,Education & Educational Research,2006
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,EDUC EVAL POLICY AN,0162-3737,1.000,Not Available,Education & Educational Research,2006
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILD RES Q,0885-2006,0.951,Not Available,Education & Educational Research,2006
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,1042-9670,0.914,Not Available,Education & Educational Research,2006
JOURNAL OF TEACHING IN PHYSICAL EDUCATION,J TEACH PHYS EDUC,0273-5024,0.900,Not Available,Education & Educational Research,2006
RESEARCH IN HIGHER EDUCATION,RES HIGH EDUC,0361-0365,0.882,Not Available,Education & Educational Research,2006
OXFORD REVIEW OF EDUCATION,OXFORD REV EDUC,0305-4985,0.857,Not Available,Education & Educational Research,2006
JOURNAL OF SCHOOL HEALTH,J SCHOOL HEALTH,0022-4391,0.856,Not Available,Education & Educational Research,2006
BRITISH EDUCATIONAL RESEARCH JOURNAL,BRIT EDUC RES J,0141-1926,0.852,Not Available,Education & Educational Research,2006
HARVARD EDUCATIONAL REVIEW,HARVARD EDUC REV,0017-8055,0.808,Not Available,Education & Educational Research,2006
QUEST,QUEST,0033-6297,0.808,Not Available,Education & Educational Research,2006
GENDER AND EDUCATION,GENDER EDUC,0954-0253,0.767,Not Available,Education & Educational Research,2006
JOURNAL OF SOCIAL WORK EDUCATION,J SOC WORK EDUC,1043-7797,0.733,Not Available,Education & Educational Research,2006
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,J EDUC BEHAV STAT,1076-9986,0.727,Not Available,Education & Educational Research,2006
LANGUAGE LEARNING,LANG LEARN,0023-8333,0.714,Not Available,Education & Educational Research,2006
EDUCATIONAL ADMINISTRATION QUARTERLY,EDUC ADMIN QUART,0013-161X,0.642,Not Available,Education & Educational Research,2006
HIGHER EDUCATION,HIGH EDUC,0018-1560,0.639,Not Available,Education & Educational Research,2006
JOURNAL OF RESEARCH IN READING,J RES READ,0141-0423,0.636,Not Available,Education & Educational Research,2006
RESEARCH IN THE TEACHING OF ENGLISH,RES TEACH ENGL,0034-527X,0.636,Not Available,Education & Educational Research,2006
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION,BRIT J SOCIOL EDUC,0142-5692,0.632,Not Available,Education & Educational Research,2006
JOURNAL OF EDUCATION POLICY,J EDUC POLICY,0268-0939,0.592,Not Available,Education & Educational Research,2006
ELEMENTARY SCHOOL JOURNAL,ELEM SCHOOL J,0013-5984,0.591,Not Available,Education & Educational Research,2006
REVIEW OF HIGHER EDUCATION,REV HIGH EDUC,0162-5748,0.578,Not Available,Education & Educational Research,2006
AMERICAN JOURNAL OF EDUCATION,AM J EDUC,0195-6744,0.571,Not Available,Education & Educational Research,2006
JOURNAL OF TEACHER EDUCATION,J TEACH EDUC,0022-4871,0.563,Not Available,Education & Educational Research,2006
STUDIES IN HIGHER EDUCATION,STUD HIGH EDUC,0307-5079,0.538,Not Available,Education & Educational Research,2006
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,J COLL STUDENT DEV,0897-5264,0.537,Not Available,Education & Educational Research,2006
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,0266-4909,0.532,Not Available,Education & Educational Research,2006
ECONOMICS OF EDUCATION REVIEW,ECON EDUC REV,0272-7757,0.531,Not Available,Education & Educational Research,2006
JOURNAL OF HIGHER EDUCATION,J HIGH EDUC,0022-1546,0.500,Not Available,Education & Educational Research,2006
TEACHING AND TEACHER EDUCATION,TEACH TEACH EDUC,0742-051X,0.496,Not Available,Education & Educational Research,2006
JOURNAL OF EXPERIMENTAL EDUCATION,J EXP EDUC,0022-0973,0.484,Not Available,Education & Educational Research,2006
TEACHING SOCIOLOGY,TEACH SOCIOL,0092-055X,0.484,Not Available,Education & Educational Research,2006
MINERVA,MINERVA,0026-4695,0.479,Not Available,Education & Educational Research,2006
EDUCATIONAL TECHNOLOGY & SOCIETY,EDUC TECHNOL SOC,1436-4522,0.469,Not Available,Education & Educational Research,2006
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,0.467,Not Available,Education & Educational Research,2006
JOURNAL OF ADOLESCENT & ADULT LITERACY,J ADOLESC ADULT LIT,1081-3004,0.464,Not Available,Education & Educational Research,2006
COMPARATIVE EDUCATION REVIEW,COMP EDUC REV,0010-4086,0.459,Not Available,Education & Educational Research,2006
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,0161-7761,0.457,Not Available,Education & Educational Research,2006
JOURNAL OF EDUCATIONAL RESEARCH,J EDUC RES,0022-0671,0.444,Not Available,Education & Educational Research,2006
BRITISH JOURNAL OF EDUCATIONAL STUDIES,BRIT J EDUC STUD,0007-1005,0.442,Not Available,Education & Educational Research,2006
EDUCATIONAL POLICY,EDUC POLICY,0895-9048,0.436,Not Available,Education & Educational Research,2006
TEACHERS COLLEGE RECORD,TEACH COLL REC,0161-4681,0.423,Not Available,Education & Educational Research,2006
INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,INT J SCI EDUC,0950-0693,0.415,Not Available,Education & Educational Research,2006
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,J RES MATH EDUC,0021-8251,0.414,Not Available,Education & Educational Research,2006
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,0007-1013,0.406,Not Available,Education & Educational Research,2006
TESOL QUARTERLY,TESOL QUART,0039-8322,0.393,Not Available,Education & Educational Research,2006
SCHOOL EFFECTIVENESS AND SCHOOL IMPROVEMENT,SCH EFF SCH IMPROV,0924-3453,0.378,Not Available,Education & Educational Research,2006
URBAN EDUCATION,URBAN EDUC,0042-0859,0.375,Not Available,Education & Educational Research,2006
READING TEACHER,READ TEACH,0034-0561,0.368,Not Available,Education & Educational Research,2006
EDUCATION AND URBAN SOCIETY,EDUC URBAN SOC,0013-1245,0.354,Not Available,Education & Educational Research,2006
FOREIGN LANGUAGE ANNALS,FOREIGN LANG ANN,0015-718X,0.354,Not Available,Education & Educational Research,2006
TEACHING OF PSYCHOLOGY,TEACH PSYCHOL,0098-6283,0.315,Not Available,Education & Educational Research,2006
APPLIED MEASUREMENT IN EDUCATION,APPL MEAS EDUC,0895-7347,0.303,Not Available,Education & Educational Research,2006
EDUCATIONAL RESEARCH,EDUC RES-UK,0013-1881,0.302,Not Available,Education & Educational Research,2006
INTERACTIVE LEARNING ENVIRONMENTS,INTERACT LEARN ENVIR,1049-4820,0.300,Not Available,Education & Educational Research,2006
