Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,2.417,Not Available,Software Engineering,2001
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,2.238,Not Available,Software Engineering,2001
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,2.185,Not Available,Software Engineering,2001
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,1.880,Not Available,Software Engineering,2001
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,1.544,Not Available,Software Engineering,2001
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1.398,Not Available,Software Engineering,2001
COMPUTER VISION AND IMAGE UNDERSTANDING,COMPUT VIS IMAGE UND,1077-3142,1.298,Not Available,Software Engineering,2001
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1.200,Not Available,Software Engineering,2001
IEEE MICRO,IEEE MICRO,0272-1732,1.186,Not Available,Software Engineering,2001
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,1.178,Not Available,Software Engineering,2001
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,1089-7801,1.155,Not Available,Software Engineering,2001
JOURNAL OF THE ACM,J ACM,0004-5411,1.078,Not Available,Software Engineering,2001
COMPUTER,COMPUTER,0018-9162,1.062,Not Available,Software Engineering,2001
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,1.048,Not Available,Software Engineering,2001
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.012,Not Available,Software Engineering,2001
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,0.968,Not Available,Software Engineering,2001
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,0.950,Not Available,Software Engineering,2001
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,0.929,Not Available,Software Engineering,2001
JOURNAL OF SOFTWARE MAINTENANCE AND EVOLUTION-RESEARCH AND PRACTICE,J SOFTW MAINT EVOL-R,1532-060X,0.914,Not Available,Software Engineering,2001
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,0.893,Not Available,Software Engineering,2001
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,0.889,Not Available,Software Engineering,2001
JOURNAL OF OBJECT-ORIENTED PROGRAMMING,J OBJECT-ORIENT PROG,0896-8438,0.886,Not Available,Software Engineering,2001
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,0.840,Not Available,Software Engineering,2001
BIT,BIT,0006-3835,0.835,Not Available,Software Engineering,2001
GRAPHICAL MODELS,GRAPH MODELS,1524-0703,0.821,Not Available,Software Engineering,2001
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,0.780,Not Available,Software Engineering,2001
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1042-9832,0.759,Not Available,Software Engineering,2001
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,0.729,Not Available,Software Engineering,2001
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,0.694,Not Available,Software Engineering,2001
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,0.649,Not Available,Software Engineering,2001
COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,0167-7055,0.631,Not Available,Software Engineering,2001
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,0.623,Not Available,Software Engineering,2001
VISUAL COMPUTER,VISUAL COMPUT,0178-2789,0.583,Not Available,Software Engineering,2001
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,0038-0644,0.571,Not Available,Software Engineering,2001
ENVIRONMENTAL MODELLING & SOFTWARE,ENVIRON MODELL SOFTW,1364-8152,0.556,Not Available,Software Engineering,2001
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,0.507,Not Available,Software Engineering,2001
JOURNAL OF VISUALIZATION AND COMPUTER ANIMATION,J VISUAL COMP ANIMAT,1049-8907,0.487,Not Available,Software Engineering,2001
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.485,Not Available,Software Engineering,2001
ALGORITHMICA,ALGORITHMICA,0178-4617,0.477,Not Available,Software Engineering,2001
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,0.477,Not Available,Software Engineering,2001
REAL-TIME IMAGING,REAL-TIME IMAGING,1077-2014,0.471,Not Available,Software Engineering,2001
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,0097-8493,0.462,Not Available,Software Engineering,2001
ADVANCES IN COMPUTERS,ADV COMPUT,0065-2458,0.444,Not Available,Software Engineering,2001
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,0.440,Not Available,Software Engineering,2001
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,1045-926X,0.431,Not Available,Software Engineering,2001
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,CMES-COMP MODEL ENG,1526-1492,0.415,Not Available,Software Engineering,2001
ANNALS OF SOFTWARE ENGINEERING,ANN SOFTW ENG,1022-7091,0.404,Not Available,Software Engineering,2001
JOOP-JOURNAL OF OBJECT-ORIENTED PROGRAMMING,JOOP,1097-1408,0.400,Not Available,Software Engineering,2001
ICGA JOURNAL,ICGA J,1389-6911,0.375,Not Available,Software Engineering,2001
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,0.349,Not Available,Software Engineering,2001
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.348,Not Available,Software Engineering,2001
COMPUTER JOURNAL,COMPUT J,0010-4620,0.323,Not Available,Software Engineering,2001
CONCURRENCY-PRACTICE AND EXPERIENCE,CONCURRENCY-PRACT EX,1040-3108,0.322,Not Available,Software Engineering,2001
ICCA JOURNAL,ICCA J,0920-234X,0.321,Not Available,Software Engineering,2001
SIMULATION,SIMULATION,0037-5497,0.320,Not Available,Software Engineering,2001
LIBRARY COMPUTING,LIBR COMPUT,0742-5759,0.286,Not Available,Software Engineering,2001
COMPUTER STANDARDS & INTERFACES,COMP STAND INTER,0920-5489,0.280,Not Available,Software Engineering,2001
COMPUTER COMMUNICATIONS,COMPUT COMMUN,0140-3664,0.277,Not Available,Software Engineering,2001
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,0.257,Not Available,Software Engineering,2001
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,0378-4754,0.253,Not Available,Software Engineering,2001
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,0.234,Not Available,Software Engineering,2001
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0362-1340,0.224,Not Available,Software Engineering,2001
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,0.205,Not Available,Software Engineering,2001
COMPUTER LANGUAGES,COMPUT LANG,0096-0551,0.188,Not Available,Software Engineering,2001
TRANSACTIONS OF THE SOCIETY FOR COMPUTER SIMULATION INTERNATIONAL,T SOC COMPUT SIMUL I,0740-6797,0.176,Not Available,Software Engineering,2001
COMPUTER GRAPHICS-US,COMPUT GRAPHICS-US,0097-8930,0.163,Not Available,Software Engineering,2001
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,0916-8532,0.144,Not Available,Software Engineering,2001
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,0.125,Not Available,Software Engineering,2001
JOURNAL OF RESEARCH AND PRACTICE IN INFORMATION TECHNOLOGY,J RES PRACT INF TECH,1443-458X,0.100,Not Available,Software Engineering,2001
COMPUTER GRAPHICS WORLD,COMPUT GRAPH WORLD,0271-4159,0.066,Not Available,Software Engineering,2001
SOFTWARE QUALITY JOURNAL,SOFTWARE QUAL J,0963-9314,0.050,Not Available,Software Engineering,2001
DR DOBBS JOURNAL,DR DOBBS J,1044-789X,0.045,Not Available,Software Engineering,2001
PROGRAMMING AND COMPUTER SOFTWARE,PROGRAM COMPUT SOFT+,0361-7688,0.000,Not Available,Software Engineering,2001
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,1532-0626,Not Available,Not Available,Software Engineering,2001
MAPLETECH,MAPLETECH,1061-5733,Not Available,Not Available,Software Engineering,2001
