Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,2.661,Not Available,Software Engineering,2004
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,1089-7801,2.554,Not Available,Software Engineering,2004
JOURNAL OF THE ACM,J ACM,0004-5411,2.414,Not Available,Software Engineering,2004
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,2.385,Not Available,Software Engineering,2004
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,2.024,Not Available,Software Engineering,2004
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1.875,Not Available,Software Engineering,2004
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.865,Not Available,Software Engineering,2004
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,1.846,Not Available,Software Engineering,2004
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1.694,Not Available,Software Engineering,2004
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,1.636,Not Available,Software Engineering,2004
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1.634,Not Available,Software Engineering,2004
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,1.602,Not Available,Software Engineering,2004
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,1.503,Not Available,Software Engineering,2004
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,1.481,Not Available,Software Engineering,2004
COMPUTER,COMPUTER,0018-9162,1.432,Not Available,Software Engineering,2004
SIGMOD RECORD,SIGMOD REC,0163-5808,1.319,Not Available,Software Engineering,2004
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1.312,Not Available,Software Engineering,2004
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1.243,Not Available,Software Engineering,2004
