Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPUTER GRAPHICS WORLD,COMPUT GRAPH WORLD,0271-4159,0.000,0.007,Software Engineering,2013
IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,IEICE T INF SYST,1745-1361,0.191,0.210,Software Engineering,2013
PROGRAMMING AND COMPUTER SOFTWARE,PROGRAM COMPUT SOFT+,0361-7688,0.233,0.201,Software Engineering,2013
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS,DES AUTOM EMBED SYST,0929-5585,0.242,0.367,Software Engineering,2013
INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,INT J SOFTW ENG KNOW,0218-1940,0.264,0.287,Software Engineering,2013
Journal of Zhejiang University-SCIENCE C-Computers & Electronics,J ZHEJIANG U-SCI C,1869-1951,0.380,0.399,Software Engineering,2013
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,J UNIVERS COMPUT SCI,0948-695X,0.401,0.533,Software Engineering,2013
Frontiers of Computer Science,FRONT COMPUT SCI-CHI,2095-2228,0.405,Not Available,Software Engineering,2013
COMPUTER ANIMATION AND VIRTUAL WORLDS,COMPUT ANIMAT VIRT W,1546-4261,0.422,0.514,Software Engineering,2013
Journal of Software-Evolution and Process,J SOFTW-EVOL PROC,2047-7473,0.442,0.462,Software Engineering,2013
Journal of Web Engineering,J WEB ENG,1540-9589,0.444,0.338,Software Engineering,2013
COMPUTER LANGUAGES SYSTEMS & STRUCTURES,COMPUT LANG SYST STR,1477-8424,0.458,0.438,Software Engineering,2013
International Journal of Web Services Research,INT J WEB SERV RES,1545-7362,0.469,0.588,Software Engineering,2013
FUNDAMENTA INFORMATICAE,FUND INFORM,0169-2968,0.479,0.508,Software Engineering,2013
Advances in Computers,ADV COMPUT,0065-2458,0.489,0.515,Software Engineering,2013
IT Professional,IT PROF,1520-9202,0.495,Not Available,Software Engineering,2013
IBM JOURNAL OF RESEARCH AND DEVELOPMENT,IBM J RES DEV,0018-8646,0.504,1.336,Software Engineering,2013
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,1084-4309,0.520,0.729,Software Engineering,2013
IET Software,IET SOFTW,1751-8806,0.536,0.571,Software Engineering,2013
SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,0167-6423,0.548,0.810,Software Engineering,2013
ALGORITHMICA,ALGORITHMICA,0178-4617,0.567,0.735,Software Engineering,2013
Computer Science and Information Systems,COMPUT SCI INF SYST,1820-0214,0.575,0.523,Software Engineering,2013
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,1533-5399,0.577,0.931,Software Engineering,2013
ACM Transactions on Storage,ACM T STORAGE,1553-3077,0.586,Not Available,Software Engineering,2013
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DISCRETE MATH THEOR,1462-7264,0.609,0.676,Software Engineering,2013
FORMAL ASPECTS OF COMPUTING,FORM ASP COMPUT,0934-5043,0.609,0.740,Software Engineering,2013
ACM SIGPLAN NOTICES,ACM SIGPLAN NOTICES,0362-1340,0.621,0.933,Software Engineering,2013
JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,J COMPUT SCI TECH-CH,1000-9000,0.642,0.909,Software Engineering,2013
RANDOM STRUCTURES & ALGORITHMS,RANDOM STRUCT ALGOR,1042-9832,0.656,0.844,Software Engineering,2013
SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,SIMUL-T SOC MOD SIM,0037-5497,0.656,0.737,Software Engineering,2013
JOURNAL OF VISUAL LANGUAGES AND COMPUTING,J VISUAL LANG COMPUT,1045-926X,0.660,0.800,Software Engineering,2013
Scientific Programming,SCI PROGRAMMING-NETH,1058-9244,0.667,0.929,Software Engineering,2013
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,1539-9087,0.680,0.967,Software Engineering,2013
JOURNAL OF SYSTEMS ARCHITECTURE,J SYST ARCHITECT,1383-7621,0.689,0.818,Software Engineering,2013
International Journal of Wavelets Multiresolution and Information Processing,INT J WAVELETS MULTI,0219-6913,0.694,0.705,Software Engineering,2013
IEEE SECURITY & PRIVACY,IEEE SECUR PRIV,1540-7993,0.721,1.197,Software Engineering,2013
VIRTUAL REALITY,VIRTUAL REAL-LONDON,1359-4338,0.729,Not Available,Software Engineering,2013
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,0.750,1.418,Software Engineering,2013
Information Visualization,INFORM VISUAL,1473-8716,0.767,1.380,Software Engineering,2013
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,1532-0626,0.784,0.854,Software Engineering,2013
JOURNAL OF FUNCTIONAL PROGRAMMING,J FUNCT PROGRAM,0956-7968,0.784,0.879,Software Engineering,2013
International Journal of Data Warehousing and Mining,INT J DATA WAREHOUS,1548-3924,0.786,Not Available,Software Engineering,2013
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,0.800,0.974,Software Engineering,2013
Software and Systems Modeling,SOFTW SYST MODEL,1619-1366,0.820,0.985,Software Engineering,2013
MATHEMATICS AND COMPUTERS IN SIMULATION,MATH COMPUT SIMULAT,0378-4754,0.856,1.109,Software Engineering,2013
SOFTWARE QUALITY JOURNAL,SOFTWARE QUAL J,0963-9314,0.880,0.889,Software Engineering,2013
COMPUTER JOURNAL,COMPUT J,0010-4620,0.888,1.024,Software Engineering,2013
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,0.894,1.157,Software Engineering,2013
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,0.896,0.900,Software Engineering,2013
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,1063-8016,0.903,0.951,Software Engineering,2013
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,1551-6857,0.904,1.240,Software Engineering,2013
PRESENCE-TELEOPERATORS AND VIRTUAL ENVIRONMENTS,PRESENCE-TELEOP VIRT,1054-7460,0.912,1.400,Software Engineering,2013
International Journal of Information Security,INT J INF SECUR,1615-5262,0.941,0.869,Software Engineering,2013
SIGMOD RECORD,SIGMOD REC,0163-5808,0.955,0.932,Software Engineering,2013
GRAPHICAL MODELS,GRAPH MODELS,1524-0703,0.967,1.158,Software Engineering,2013
COMPUTERS & GRAPHICS-UK,COMPUT GRAPH-UK,0097-8493,1.029,1.151,Software Engineering,2013
SIMULATION MODELLING PRACTICE AND THEORY,SIMUL MODEL PRACT TH,1569-190X,1.050,1.169,Software Engineering,2013
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,1544-3558,1.051,1.566,Software Engineering,2013
MULTIMEDIA TOOLS AND APPLICATIONS,MULTIMED TOOLS APPL,1380-7501,1.058,1.039,Software Engineering,2013
VISUAL COMPUTER,VISUAL COMPUT,0178-2789,1.073,1.004,Software Engineering,2013
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,1.116,1.475,Software Engineering,2013
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1.137,1.276,Software Engineering,2013
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,1556-4681,1.147,Not Available,Software Engineering,2013
REQUIREMENTS ENGINEERING,REQUIR ENG,0947-3602,1.147,1.361,Software Engineering,2013
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,0038-0644,1.148,0.888,Software Engineering,2013
BIT NUMERICAL MATHEMATICS,BIT,0006-3835,1.156,1.164,Software Engineering,2013
IEEE Transactions on Computational Intelligence and AI in Games,IEEE T COMP INTEL AI,1943-068X,1.167,1.274,Software Engineering,2013
COMPUTER STANDARDS & INTERFACES,COMPUT STAND INTER,0920-5489,1.177,1.417,Software Engineering,2013
SOFTWARE TESTING VERIFICATION & RELIABILITY,SOFTW TEST VERIF REL,0960-0833,1.200,1.239,Software Engineering,2013
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,1.210,1.271,Software Engineering,2013
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,1.230,1.408,Software Engineering,2013
Automated Software Engineering,AUTOMAT SOFTW ENG,0928-8910,1.240,1.429,Software Engineering,2013
JOURNAL OF SYSTEMS AND SOFTWARE,J SYST SOFTWARE,0164-1212,1.245,1.443,Software Engineering,2013
JOURNAL OF SOFTWARE MAINTENANCE AND EVOLUTION-RESEARCH AND PRACTICE,J SOFTW MAINT EVOL-R,1532-060X,1.320,1.216,Software Engineering,2013
INFORMATION AND SOFTWARE TECHNOLOGY,INFORM SOFTWARE TECH,0950-5849,1.328,1.583,Software Engineering,2013
JOURNAL OF VISUAL COMMUNICATION AND IMAGE REPRESENTATION,J VIS COMMUN IMAGE R,1047-3203,1.361,1.477,Software Engineering,2013
Journal of Web Semantics,J WEB SEMANT,1570-8268,1.377,2.050,Software Engineering,2013
ADVANCES IN ENGINEERING SOFTWARE,ADV ENG SOFTW,0965-9978,1.422,1.523,Software Engineering,2013
COMPUTER,COMPUTER,0018-9162,1.438,2.340,Software Engineering,2013
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,1.472,1.694,Software Engineering,2013
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,1.515,1.929,Software Engineering,2013
International Journal of Web and Grid Services,INT J WEB GRID SERV,1741-1106,1.579,1.137,Software Engineering,2013
IMAGE AND VISION COMPUTING,IMAGE VISION COMPUT,0262-8856,1.581,2.095,Software Engineering,2013
ACM Transactions on the Web,ACM T WEB,1559-1131,1.595,1.966,Software Engineering,2013
COMPUTER GRAPHICS FORUM,COMPUT GRAPH FORUM,0167-7055,1.595,1.920,Software Engineering,2013
WORLD WIDE WEB-INTERNET AND WEB INFORMATION SYSTEMS,WORLD WIDE WEB,1386-145X,1.623,1.360,Software Engineering,2013
EMPIRICAL SOFTWARE ENGINEERING,EMPIR SOFTW ENG,1382-3256,1.640,2.610,Software Engineering,2013
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1.657,1.985,Software Engineering,2013
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1.767,1.209,Software Engineering,2013
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1.772,1.583,Software Engineering,2013
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1.776,2.344,Software Engineering,2013
IEEE MICRO,IEEE MICRO,0272-1732,1.812,2.332,Software Engineering,2013
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1.919,2.242,Software Engineering,2013
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.984,2.195,Software Engineering,2013
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,1.985,Not Available,Software Engineering,2013
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,1089-7801,2.000,2.513,Software Engineering,2013
MATHEMATICAL AND COMPUTER MODELLING,MATH COMPUT MODEL,0895-7177,2.020,1.755,Software Engineering,2013
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1086-4415,2.150,2.350,Software Engineering,2013
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,2.292,2.786,Software Engineering,2013
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,2.330,1.841,Software Engineering,2013
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,2.863,3.420,Software Engineering,2013
SIAM Journal on Imaging Sciences,SIAM J IMAGING SCI,1936-4954,2.867,6.851,Software Engineering,2013
JOURNAL OF THE ACM,J ACM,0004-5411,2.939,2.752,Software Engineering,2013
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,3.289,2.755,Software Engineering,2013
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,3.725,4.529,Software Engineering,2013
