Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
COMPUTER GRAPHICS-US,COMPUT GRAPHICS-US,0097-8930,1.125,Not Available,Software Engineering,2007
JOURNAL OF FUNCTIONAL PROGRAMMING,J FUNCT PROGRAM,0956-7968,1.151,1.482,Software Engineering,2007
CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,CONCURR COMP-PRACT E,1532-0626,1.154,0.940,Software Engineering,2007
SOFTWARE TESTING VERIFICATION & RELIABILITY,SOFTW TEST VERIF REL,0960-0833,1.158,1.038,Software Engineering,2007
IEEE Transactions on Dependable and Secure Computing,IEEE T DEPEND SECURE,1545-5971,1.161,1.915,Software Engineering,2007
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE,INT J ELECTRON COMM,1086-4415,1.186,2.461,Software Engineering,2007
IEEE MULTIMEDIA,IEEE MULTIMEDIA,1070-986X,1.190,1.506,Software Engineering,2007
IBM SYSTEMS JOURNAL,IBM SYST J,0018-8670,1.214,1.477,Software Engineering,2007
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,0164-0925,1.220,1.754,Software Engineering,2007
JOURNAL OF MATHEMATICAL IMAGING AND VISION,J MATH IMAGING VIS,0924-9907,1.220,1.946,Software Engineering,2007
COMPUTER-AIDED DESIGN,COMPUT AIDED DESIGN,0010-4485,1.222,1.491,Software Engineering,2007
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,J NETW COMPUT APPL,1084-8045,1.265,0.988,Software Engineering,2007
IEEE TRANSACTIONS ON RELIABILITY,IEEE T RELIAB,0018-9529,1.303,1.506,Software Engineering,2007
SIGMOD RECORD,SIGMOD REC,0163-5808,1.365,1.759,Software Engineering,2007
COMPUTER,COMPUTER,0018-9162,1.367,1.471,Software Engineering,2007
COMPUTER AIDED GEOMETRIC DESIGN,COMPUT AIDED GEOM D,0167-8396,1.382,1.543,Software Engineering,2007
IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,0272-1716,1.398,1.879,Software Engineering,2007
IEEE SOFTWARE,IEEE SOFTWARE,0740-7459,1.462,1.792,Software Engineering,2007
MATHEMATICAL PROGRAMMING,MATH PROGRAM,0025-5610,1.475,2.183,Software Engineering,2007
IEEE TRANSACTIONS ON MULTIMEDIA,IEEE T MULTIMEDIA,1520-9210,1.518,1.975,Software Engineering,2007
REQUIREMENTS ENGINEERING,REQUIR ENG,0947-3602,1.538,Not Available,Software Engineering,2007
IEEE INTERNET COMPUTING,IEEE INTERNET COMPUT,1089-7801,1.551,2.350,Software Engineering,2007
COMMUNICATIONS OF THE ACM,COMMUN ACM,0001-0782,1.593,2.142,Software Engineering,2007
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,IEEE T VIS COMPUT GR,1077-2626,1.600,2.066,Software Engineering,2007
IEEE MICRO,IEEE MICRO,0272-1732,1.701,1.605,Software Engineering,2007
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,0098-3500,1.714,2.489,Software Engineering,2007
JOURNAL OF DATABASE MANAGEMENT,J DATABASE MANAGE,1063-8016,1.854,Not Available,Software Engineering,2007
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,0362-5915,2.078,2.820,Software Engineering,2007
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,IEEE T SOFTWARE ENG,0098-5589,2.105,2.974,Software Engineering,2007
REAL-TIME IMAGING,REAL-TIME IMAGING,1077-2014,2.270,1.287,Software Engineering,2007
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,1049-331X,2.792,3.667,Software Engineering,2007
JOURNAL OF THE ACM,J ACM,0004-5411,3.136,3.925,Software Engineering,2007
Journal of Web Semantics,J WEB SEMANT,1570-8268,3.410,Not Available,Software Engineering,2007
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,0730-0301,3.413,4.683,Software Engineering,2007
